timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1648897200,Regar-TadAZ,Ravshan Zafarabad,2,2,,,,0
1648897200,Faizkand,Istaravshan,0,5,,,,0
1648983600,Vakhsh,Ravshan,3,1,,,,0
1648983600,Eskhata,Khujand,1,0,,,,0
1649415600,Eskhata,Faizkand,1,3,,,,0
1649502000,Istaravshan,Vakhsh,0,0,,,,0
1649588400,Khujand,Ravshan Zafarabad,3,0,,,,0
1649588400,CSKA Pomir Dushanbe,Regar-TadAZ,1,0,,,,0
1650108600,Regar-TadAZ,Ravshan,0,1,,,,0
1650108600,Istiqlol Dushanbe,Istaravshan,3,0,Awrd,,,0
1650108600,Faizkand,Khujand,0,0,,,,0
1650195000,Vakhsh,Eskhata,3,2,,,,0
1650195000,Ravshan Zafarabad,CSKA Pomir Dushanbe,0,2,,,,0
1650713400,Ravshan,Ravshan Zafarabad,1,1,,,,0
1650713400,Istaravshan,Regar-TadAZ,0,1,,,,0
1650799800,Khujand,CSKA Pomir Dushanbe,1,2,,,,0
1650799800,Faizkand,Vakhsh,0,1,,,,0
1651320000,Vakhsh,Khujand,0,0,,,,0
1651320000,CSKA Pomir Dushanbe,Ravshan,1,2,,,,0
1651406400,Regar-TadAZ,Eskhata,3,1,,,,0
1651406400,Ravshan Zafarabad,Istaravshan,2,1,,,,0
1651924800,Faizkand,Regar-TadAZ,2,1,,,,0
1651924800,Eskhata,Ravshan Zafarabad,2,2,,,,0
1652097600,Istaravshan,CSKA Pomir Dushanbe,1,2,,,,0
1652356800,Vakhsh,Istiqlol Dushanbe,1,1,,,,0
1652356800,Khujand,Ravshan,0,0,,,,0
1652529600,Ravshan Zafarabad,Faizkand,1,3,,,,0
1652529600,CSKA Pomir Dushanbe,Eskhata,1,4,,,,0
1652616000,Regar-TadAZ,Vakhsh,0,1,,,,0
1652616000,Ravshan,Istaravshan,1,0,,,,0
1652619600,Istiqlol Dushanbe,Khujand,1,1,,,,0
1652875200,Vakhsh,Ravshan Zafarabad,1,0,,,,0
1652875200,Khujand,Istaravshan,1,0,,,,0
1652875200,Faizkand,CSKA Pomir Dushanbe,2,2,,,,0
1652878800,Istiqlol Dushanbe,Regar-TadAZ,3,1,,,,0
1653220800,Eskhata,Ravshan,1,1,,,,0
1655814600,Ravshan Zafarabad,Istiqlol Dushanbe,0,4,,,,0
1655814600,Ravshan,Faizkand,3,0,,,,0
1655901000,Istaravshan,Eskhata,2,1,,,,0
1656160200,Khujand,Regar-TadAZ,1,1,,,,0
1656160200,Faizkand,Ravshan,0,0,,,,0
1656160200,Eskhata,Istaravshan,0,3,,,,0
1656250200,Istiqlol Dushanbe,Ravshan Zafarabad,7,0,,,,0
1656851400,Regar-TadAZ,Istiqlol Dushanbe,1,3,,,,0
1656851400,Ravshan Zafarabad,Vakhsh,0,0,,,,0
1656851400,Ravshan,Eskhata,2,0,,,,0
1656937800,CSKA Pomir Dushanbe,Faizkand,1,2,,,,0
