timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1442062800,Toto Africans,Mwadui,1,0,,,,0
1442062800,Stand U.,Mtibwa Sugar,0,1,,,,0
1442062800,Ndanda,Mgambo,1,1,,,,0
1442062800,Mbeya City,Kagera Sugar,0,1,,,,0
1442062800,Majimaji,Ruvu Stars,1,0,,,,0
1442062800,Azam,Tanzania Prisons,2,1,,,,0
1442062800,African Sports FC,Simba,0,1,,,,0
1442149200,Young Africans,Coastal Union,2,0,,,,0
1442408400,Young Africans,Tanzania Prisons,3,0,,,,0
1442408400,Toto Africans,Mtibwa Sugar,1,2,,,,0
1442408400,Stand U.,Azam,0,2,,,,0
1442408400,Ndanda,Coastal Union,1,0,,,,0
1442408400,Mwadui,African Sports FC,2,0,,,,0
1442408400,Mgambo,Simba,0,2,,,,0
1442408400,Mbeya City,Ruvu Stars,3,0,,,,0
1442408400,Majimaji,Kagera Sugar,1,0,,,,0
1442667600,Young Africans,Ruvu Stars,4,1,,,,0
1442667600,Tanzania Prisons,Mbeya City,1,0,,,,0
1442667600,Stand U.,African Sports FC,2,0,,,,0
1442667600,Mgambo,Majimaji,1,0,,,,0
1442754000,Simba,Kagera Sugar,3,1,,,,0
1442754000,Mwadui,Azam,0,1,,,,0
1442754000,Mtibwa Sugar,Ndanda,2,1,,,,0
1442754000,Coastal Union,Toto Africans,0,0,,,,0
1443272400,Tanzania Prisons,Mgambo,1,0,,,,0
1443272400,Simba,Young Africans,0,2,,,,0
1443272400,Ruvu Stars,Stand U.,0,1,,,,0
1443272400,Mtibwa Sugar,Majimaji,1,0,,,,0
1443272400,Kagera Sugar,Toto Africans,0,0,,,,0
1443272400,Coastal Union,Mwadui,0,0,,,,0
1443358800,Azam,Mbeya City,2,1,,,,0
1443358800,African Sports FC,Ndanda,1,0,,,,0
1443618000,Tanzania Prisons,Mwadui,0,0,,,,0
1443618000,Simba,Stand U.,1,0,,,,0
1443618000,Mtibwa Sugar,Young Africans,0,2,,,,0
1443618000,Majimaji,Ndanda,1,1,,,,0
1443618000,Kagera Sugar,Ruvu Stars,0,0,,,,0
1443618000,Azam,Coastal Union,2,0,,,,0
1443618000,African Sports FC,Mgambo,0,1,,,,0
1443704400,Toto Africans,Mbeya City,1,1,,,,0
1443877200,Mgambo,Coastal Union,0,0,,,,0
1443877200,Majimaji,Mwadui,0,1,,,,0
1443963600,Toto Africans,Ruvu Stars,1,0,,,,0
