timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1632740400,Mtibwa Sugar,Mbeya Kwanza,zRkl1WzG,bJmhec4a,0,1,,,,0
1632747600,Namungo,Geita Gold,Ai2ysddt,lMaihByE,2,0,,,,0
1632747600,Coastal Union,Azam,dzip2CL9,GMblXjD2,1,1,,,,0
1632826800,Dodoma Jiji,Ruvu Shooting,0SL5ozs0,hA4BdLBb,1,0,,,,0
1632834000,Mbeya City,Tanzania Prisons,zRkl1WzG,QkkNd8ri,1,0,,,,0
1632834000,Biashara Mara United,Simba,2g7AFAbb,6auKd00m,0,0,,,,0
1632913200,Polisi Tanzania,Kinondoni MC,OYAKBJym,pzrVpTTm,2,0,,,,0
1632920400,Kagera Sugar,Young Africans,zRkl1WzG,QNM5QOXC,0,1,,,,0
1633093200,Dodoma Jiji,Simba,0SL5ozs0,6auKd00m,0,1,,,,0
1633093200,Biashara Mara United,Ruvu Shooting,2g7AFAbb,hA4BdLBb,0,1,,,,0
1633172400,Coastal Union,Kinondoni MC,dzip2CL9,pzrVpTTm,0,0,,,,0
1633179600,Polisi Tanzania,Azam,OYAKBJym,GMblXjD2,2,1,,,,0
1633190400,Young Africans,Geita Gold,QNM5QOXC,lMaihByE,1,0,,,,0
1633258800,Mtibwa Sugar,Tanzania Prisons,zRkl1WzG,QkkNd8ri,0,0,,,,0
1633266000,Namungo,Kagera Sugar,Ai2ysddt,zRkl1WzG,1,1,,,,0
1633266000,Mbeya City,Mbeya Kwanza,zRkl1WzG,bJmhec4a,2,2,,,,0
1634382000,Kagera Sugar,Mbeya City,zRkl1WzG,zRkl1WzG,0,0,,,,0
1634389200,Geita Gold,Mtibwa Sugar,lMaihByE,zRkl1WzG,1,1,,,,0
1634468400,Mbeya Kwanza,Dodoma Jiji,bJmhec4a,0SL5ozs0,0,0,,,,0
1634475600,Ruvu Shooting,Coastal Union,hA4BdLBb,dzip2CL9,1,0,,,,0
1634648400,Kinondoni MC,Young Africans,pzrVpTTm,QNM5QOXC,0,2,,,,0
1634659200,Azam,Namungo,GMblXjD2,Ai2ysddt,1,0,,,,0
1634907600,Kagera Sugar,Mtibwa Sugar,zRkl1WzG,zRkl1WzG,1,0,,,,0
1634986800,Namungo,Kinondoni MC,Ai2ysddt,pzrVpTTm,1,1,,,,0
1634994000,Geita Gold,Mbeya City,lMaihByE,zRkl1WzG,1,1,,,,0
1635080400,Ruvu Shooting,Polisi Tanzania,hA4BdLBb,OYAKBJym,0,1,,,,0
1635094800,Dodoma Jiji,Tanzania Prisons,0SL5ozs0,QkkNd8ri,2,1,,,,0
1635339600,Tanzania Prisons,Biashara Mara United,QkkNd8ri,2g7AFAbb,0,3,,,,0
1635350400,Simba,Polisi Tanzania,6auKd00m,OYAKBJym,1,0,,,,0
1635512400,Mbeya Kwanza,Biashara Mara United,bJmhec4a,2g7AFAbb,1,1,,,,0
1635512400,Kinondoni MC,Kagera Sugar,pzrVpTTm,zRkl1WzG,0,1,,,,0
1635598800,Mtibwa Sugar,Dodoma Jiji,zRkl1WzG,0SL5ozs0,0,1,,,,0
1635609600,Young Africans,Azam,QNM5QOXC,GMblXjD2,2,0,,,,0
1635696000,Simba,Coastal Union,6auKd00m,dzip2CL9,0,0,,,,0
1635771600,Mbeya Kwanza,Polisi Tanzania,bJmhec4a,OYAKBJym,2,2,,,,0
1635866100,Young Africans,Ruvu Shooting,QNM5QOXC,hA4BdLBb,3,1,,,,0
1635874200,Azam,Geita Gold,GMblXjD2,lMaihByE,1,0,,,,0
1635937200,Coastal Union,Tanzania Prisons,dzip2CL9,QkkNd8ri,0,0,,,,0
1635944400,Biashara Mara United,Mbeya City,2g7AFAbb,zRkl1WzG,0,0,,,,0
1635955200,Simba,Namungo,6auKd00m,Ai2ysddt,1,0,,,,0
1637319600,Tanzania Prisons,Mbeya Kwanza,QkkNd8ri,bJmhec4a,2,1,,,,0
1637326800,Ruvu Shooting,Simba,hA4BdLBb,6auKd00m,1,3,,,,0
1637326800,Polisi Tanzania,Coastal Union,OYAKBJym,dzip2CL9,0,1,,,,0
1637406000,Mbeya City,Mtibwa Sugar,zRkl1WzG,zRkl1WzG,3,1,,,,0
1637413200,Namungo,Young Africans,Ai2ysddt,QNM5QOXC,1,1,,,,0
1637413200,Kagera Sugar,Geita Gold,zRkl1WzG,lMaihByE,1,2,,,,0
1637499600,Kinondoni MC,Azam,pzrVpTTm,GMblXjD2,2,1,,,,0
1637510400,Dodoma Jiji,Biashara Mara United,0SL5ozs0,2g7AFAbb,1,1,,,,0
