timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
993297600,Police Tero,Bangkok Bank,1,0,,,,0
993297600,Air Force Central,RBAC FC,3,0,,,,0
993384000,Port MTI FC,TTM Chiangmai,1,2,,,,0
993384000,BBCU,Police Utd,0,0,,,,0
993470400,TOT,Thai Navy,2,0,,,,0
993470400,Krung Thai Bank,Super Power FC,1,1,,,,0
993816000,TTM Chiangmai,Police Tero,2,3,,,,0
993816000,Thai Navy,BBCU,3,1,,,,0
993902400,Super Power FC,Air Force Central,0,0,,,,0
993902400,Bangkok Bank,Port MTI FC,0,0,,,,0
994075200,Police Tero,Thai Navy,4,1,,,,0
994075200,BBCU,TTM Chiangmai,1,1,,,,0
994334400,Super Power FC,BBCU,1,1,,,,0
994334400,RBAC FC,Police Tero,0,2,,,,0
994420800,TOT,Krung Thai Bank,2,3,,,,0
994420800,Police Utd,TTM Chiangmai,0,1,,,,0
994507200,Port MTI FC,Air Force Central,2,2,,,,0
994507200,Bangkok Bank,Thai Navy,0,1,,,,0
994593600,Police Tero,Super Power FC,4,0,,,,0
994593600,BBCU,RBAC FC,0,0,,,,0
994680000,TTM Chiangmai,Krung Thai Bank,0,2,,,,0
994680000,Police Utd,TOT,0,0,,,,0
994939200,Krung Thai Bank,Police Tero,0,0,,,,0
994939200,Air Force Central,BBCU,5,1,,,,0
995025600,TOT,RBAC FC,0,1,,,,0
995025600,Port MTI FC,Super Power FC,1,2,,,,0
995112000,TTM Chiangmai,Bangkok Bank,2,3,,,,0
995112000,Thai Navy,Police Utd,1,0,,,,0
995198400,Police Tero,Air Force Central,4,0,,,,0
995198400,BBCU,Krung Thai Bank,1,2,,,,0
995284800,TOT,Super Power FC,0,1,,,,0
995284800,RBAC FC,Port MTI FC,0,0,,,,0
995630400,TOT,BBCU,0,4,,,,0
995630400,Port MTI FC,Police Tero,0,2,,,,0
995716800,Super Power FC,Thai Navy,3,1,,,,0
995716800,Bangkok Bank,Air Force Central,0,0,,,,0
995803200,RBAC FC,TTM Chiangmai,2,3,,,,0
995803200,Police Utd,Krung Thai Bank,1,0,,,,0
995889600,Police Tero,TOT,2,2,,,,0
995889600,BBCU,Port MTI FC,1,0,,,,0
996148800,Police Utd,Police Tero,1,2,,,,0
996148800,Bangkok Bank,BBCU,2,2,,,,0
996235200,TTM Chiangmai,Super Power FC,2,1,,,,0
996235200,Thai Navy,RBAC FC,0,2,,,,0
996314400,Police Tero,BBCU,2,1,,,,0
996321600,Air Force Central,Krung Thai Bank,1,1,,,,0
996494400,Port MTI FC,Police Utd,3,2,,,,0
996494400,Bangkok Bank,TOT,2,1,,,,0
996753600,TOT,Air Force Central,0,2,,,,0
996753600,Thai Navy,TTM Chiangmai,1,0,,,,0
996840000,Super Power FC,Bangkok Bank,3,1,,,,0
996840000,RBAC FC,Police Utd,1,1,,,,0
997012800,Krung Thai Bank,Port MTI FC,1,2,,,,0
997012800,Air Force Central,Thai Navy,2,0,,,,0
997099200,RBAC FC,Bangkok Bank,0,1,,,,0
997099200,Police Utd,Super Power FC,0,1,,,,0
997444800,Krung Thai Bank,Thai Navy,3,1,,,,0
997444800,Air Force Central,TTM Chiangmai,2,1,,,,0
997531200,Super Power FC,RBAC FC,1,1,,,,0
997531200,Bangkok Bank,Police Utd,1,1,,,,0
997963200,Port MTI FC,TOT,3,0,,,,0
997963200,Krung Thai Bank,RBAC FC,2,0,,,,0
998128800,Port MTI FC,Thai Navy,2,0,,,,0
