timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1269077400,Sisaket,Muang Thong Utd,UDdNUb9r,nu0GdC2O,1,2,,,,0
1269079200,Thai Navy,TTM Chiangmai,44nCYsyI,pr4vigni,1,2,,,,0
1269162000,Samut Songkhram,Port MTI FC,46eDWWOF,b379xgI8,1,0,,,,0
1269169200,Chonburi,Army United,l8KQkpvC,hS1NqhHr,3,0,,,,0
1269428400,Police Utd,Bangkok Utd,d8rCnrpj,WGasveDI,1,1,,,,0
1269680400,TTM Chiangmai,TOT,pr4vigni,nwcq2Drl,0,1,,,,0
1269684000,Buriram,Samut Songkhram,AHLMjQO5,46eDWWOF,3,1,,,,0
1269766800,Super Power FC,Port MTI FC,nwcq2Drl,b379xgI8,1,0,,,,0
1269766800,Samut Prakan City,Thai Navy,jes3ohYg,44nCYsyI,3,1,,,,0
1269774000,Pathum United,Police Utd,44nCYsyI,d8rCnrpj,1,0,,,,0
1269774000,Army United,Sisaket,hS1NqhHr,UDdNUb9r,2,2,,,,0
1270285200,Samut Songkhram,Pathum United,46eDWWOF,44nCYsyI,1,0,,,,0
1270290600,Port MTI FC,Police Utd,b379xgI8,d8rCnrpj,3,2,,,,0
1270292400,Sisaket,TOT,UDdNUb9r,nwcq2Drl,1,1,,,,0
1270293300,Muang Thong Utd,Thai Navy,nu0GdC2O,44nCYsyI,1,0,,,,0
1270373400,TTM Chiangmai,Army United,pr4vigni,hS1NqhHr,3,1,,,,0
1270375200,Samut Prakan City,Chonburi,jes3ohYg,l8KQkpvC,1,2,,,,0
1270375200,Buriram,Police Tero,AHLMjQO5,vVSiDfbI,1,1,,,,0
1270544400,Super Power FC,Bangkok Utd,nwcq2Drl,WGasveDI,1,2,,,,0
1270890000,Thai Navy,Sisaket,44nCYsyI,UDdNUb9r,4,2,,,,0
1270897200,TOT,Pathum United,nwcq2Drl,44nCYsyI,2,0,,,,0
1270897200,Police Tero,Super Power FC,vVSiDfbI,nwcq2Drl,3,1,,,,0
1270897200,Chonburi,TTM Chiangmai,l8KQkpvC,pr4vigni,5,1,,,,0
1270977300,Port MTI FC,Muang Thong Utd,b379xgI8,nu0GdC2O,1,4,,,,0
1270983600,Police Utd,Samut Songkhram,d8rCnrpj,46eDWWOF,1,2,,,,0
1270983600,Army United,Samut Prakan City,hS1NqhHr,jes3ohYg,0,2,,,,0
1271495700,Police Utd,Police Tero,d8rCnrpj,vVSiDfbI,1,2,,,,0
1271502000,Muang Thong Utd,Bangkok Utd,nu0GdC2O,WGasveDI,5,1,,,,0
1271502000,Buriram,TOT,AHLMjQO5,nwcq2Drl,0,0,,,,0
1271581200,TTM Chiangmai,Samut Prakan City,pr4vigni,jes3ohYg,3,0,,,,0
1271588400,Pathum United,Army United,44nCYsyI,hS1NqhHr,3,1,,,,0
1271588400,Chonburi,Sisaket,l8KQkpvC,UDdNUb9r,3,1,,,,0
1272099600,Samut Songkhram,Thai Navy,46eDWWOF,44nCYsyI,1,0,,,,0
1272099600,Pathum United,Muang Thong Utd,44nCYsyI,nu0GdC2O,1,0,,,,0
1272104100,TOT,Port MTI FC,nwcq2Drl,b379xgI8,2,1,,,,0
1272106800,Army United,Bangkok Utd,hS1NqhHr,WGasveDI,1,1,,,,0
1272186000,Super Power FC,TTM Chiangmai,nwcq2Drl,pr4vigni,1,1,,,,0
1272186000,Samut Prakan City,Buriram,jes3ohYg,AHLMjQO5,3,3,,,,0
1272189600,Sisaket,Police Utd,UDdNUb9r,d8rCnrpj,2,4,,,,0
1272704400,Samut Prakan City,Pathum United,jes3ohYg,44nCYsyI,1,1,,,,0
1272706200,Super Power FC,Army United,nwcq2Drl,hS1NqhHr,0,1,,,,0
1272708900,Bangkok Utd,TTM Chiangmai,WGasveDI,pr4vigni,0,3,,,,0
1272794400,Thai Navy,Police Tero,44nCYsyI,vVSiDfbI,3,1,,,,0
1272796200,Port MTI FC,Sisaket,b379xgI8,UDdNUb9r,2,0,,,,0
1272798000,Police Utd,TOT,d8rCnrpj,nwcq2Drl,1,0,,,,0
1272798000,Chonburi,Samut Songkhram,l8KQkpvC,46eDWWOF,0,0,,,,0
1273050900,Muang Thong Utd,Buriram,nu0GdC2O,AHLMjQO5,0,0,,,,0
1273051800,Port MTI FC,Thai Navy,b379xgI8,44nCYsyI,3,0,,,,0
1273316400,TOT,Chonburi,nwcq2Drl,l8KQkpvC,0,2,,,,0
1273316400,Pathum United,Super Power FC,44nCYsyI,nwcq2Drl,0,0,,,,0
1273399200,Thai Navy,Police Utd,44nCYsyI,d8rCnrpj,1,0,,,,0
1273399200,Bangkok Utd,Samut Prakan City,WGasveDI,jes3ohYg,0,1,,,,0
1273402800,Sisaket,Samut Songkhram,UDdNUb9r,46eDWWOF,1,1,,,,0
1273402800,Buriram,Army United,AHLMjQO5,hS1NqhHr,3,1,,,,0
1273914000,Samut Prakan City,Super Power FC,jes3ohYg,nwcq2Drl,0,0,,,,0
1274004000,Buriram,Port MTI FC,AHLMjQO5,b379xgI8,0,0,,,,0
1274007600,TOT,Thai Navy,nwcq2Drl,44nCYsyI,1,0,,,,0
1274022000,Pathum United,Sisaket,44nCYsyI,UDdNUb9r,3,1,,,,0
1274520600,Super Power FC,TOT,nwcq2Drl,nwcq2Drl,1,0,,,,0
1274522400,Thai Navy,Buriram,44nCYsyI,AHLMjQO5,0,0,,,,0
1274605200,Samut Prakan City,Samut Songkhram,jes3ohYg,46eDWWOF,2,0,,,,0
1274612400,Police Utd,Army United,d8rCnrpj,hS1NqhHr,0,0,,,,0
1274612400,Chonburi,Pathum United,l8KQkpvC,44nCYsyI,2,1,,,,0
1274613000,Muang Thong Utd,Police Tero,nu0GdC2O,vVSiDfbI,2,0,,,,0
