date,home_team,away_team,home_score,away_score
19.05. 22:00,1976 Phoenix FC,Morvant Caledonia Utd,1,0
19.05. 22:00,Defence Force,Eagles FC,5,1
19.05. 22:00,Point Fortin,Port Of Spain,0,3
19.05. 22:00,Police,Central FC,1,0
19.05. 22:00,Sando,La Horquetta,4,1
12.05. 23:00,1976 Phoenix FC,Eagles FC,2,2
11.05. 22:00,Port Of Spain,Sando,3,0
10.05. 02:10,La Horquetta,Prison Service,2,1
10.05. 00:00,Central FC,Defence Force,1,2
09.05. 01:00,Morvant Caledonia Utd,Point Fortin,6,1
08.05. 23:00,Port Of Spain,1976 Phoenix FC,3,2
05.05. 23:30,1976 Phoenix FC,Police,3,3
03.05. 02:10,Prison Service,Port Of Spain,1,1
03.05. 00:00,Eagles FC,Defence Force,0,2
16.04. 22:00,Sando,Morvant Caledonia Utd,2,2
15.04. 00:00,Police,La Horquetta,4,1
14.04. 23:00,1976 Phoenix FC,Point Fortin,2,0
14.04. 22:00,Eagles FC,Central FC,1,0
08.04. 00:10,Port Of Spain,Police,1,1
08.04. 00:00,Point Fortin,Sando,0,1
07.04. 22:00,Morvant Caledonia Utd,Prison Service,1,0
07.04. 00:00,La Horquetta,Defence Force,1,1
06.04. 22:00,Central FC,1976 Phoenix FC,0,3
04.04. 02:10,Defence Force,Port Of Spain,2,0
04.04. 02:10,Prison Service,Point Fortin,0,1
04.04. 00:00,Eagles FC,La Horquetta,4,3
04.04. 00:00,Police,Morvant Caledonia Utd,2,1
03.04. 22:00,1976 Phoenix FC,Sando,2,5
28.03. 01:10,Morvant Caledonia Utd,Defence Force,1,1
27.03. 23:00,La Horquetta,Central FC,4,4
27.03. 23:00,Point Fortin,Police,2,3
27.03. 23:00,Port Of Spain,Eagles FC,2,1
27.03. 21:00,Sando,Prison Service,2,1
17.03. 21:00,1976 Phoenix FC,Prison Service,0,2
17.03. 01:10,Defence Force,Point Fortin,3,4
16.03. 23:00,Eagles FC,Morvant Caledonia Utd,0,3
15.03. 23:00,Central FC,Port Of Spain,2,2
15.03. 23:00,Police,Sando,1,1
10.03. 23:00,Point Fortin,Eagles FC,0,0
10.03. 23:00,Prison Service,Police,0,1
10.03. 22:00,Morvant Caledonia Utd,Central FC,2,0
10.03. 21:30,La Horquetta,1976 Phoenix FC,1,2
09.03. 21:00,Sando,Defence Force,0,1
07.03. 01:10,Eagles FC,Sando,1,1
07.03. 01:10,La Horquetta,Port Of Spain,1,3
06.03. 23:00,Central FC,Point Fortin,0,6
06.03. 23:00,Defence Force,Prison Service,0,1
25.02. 21:00,Sando,Central FC,3,1
25.02. 01:00,Prison Service,Eagles FC,0,3
24.02. 23:00,Morvant Caledonia Utd,La Horquetta,2,2
24.02. 21:00,Defence Force,Police,2,1
19.02. 00:10,Port Of Spain,Morvant Caledonia Utd,3,3
18.02. 23:00,1976 Phoenix FC,Defence Force,2,0
18.02. 22:00,Eagles FC,Police,1,3
18.02. 01:10,Central FC,Prison Service,0,4
17.02. 23:00,La Horquetta,Point Fortin,2,0
03.02. 23:10,Port Of Spain,Point Fortin,0,0
03.02. 01:10,La Horquetta,Sando,2,0
02.02. 23:00,Central FC,Police,0,4
02.02. 21:00,Morvant Caledonia Utd,1976 Phoenix FC,1,1
29.01. 00:00,Prison Service,La Horquetta,1,3
27.01. 01:10,Sando,Port Of Spain,2,4
26.01. 23:00,Defence Force,Central FC,3,0
26.01. 23:00,Point Fortin,Morvant Caledonia Utd,0,0
26.01. 20:30,Eagles FC,1976 Phoenix FC,1,2
21.01. 01:10,La Horquetta,Police,2,2
20.01. 23:00,Central FC,Eagles FC,1,3
20.01. 01:10,Port Of Spain,Prison Service,5,1
19.01. 23:00,Morvant Caledonia Utd,Sando,1,2
19.01. 23:00,Point Fortin,1976 Phoenix FC,2,1
14.01. 23:00,Prison Service,Morvant Caledonia Utd,2,1
13.01. 01:10,Police,Port Of Spain,0,1
12.01. 23:00,1976 Phoenix FC,Central FC,5,1
12.01. 23:00,Defence Force,La Horquetta,2,0
12.01. 20:30,Sando,Point Fortin,1,1
07.01. 23:00,La Horquetta,Eagles FC,3,0
07.01. 01:10,Port Of Spain,Defence Force,0,1
06.01. 23:00,Morvant Caledonia Utd,Police,1,2
06.01. 23:00,Point Fortin,Prison Service,2,1
06.01. 20:30,Sando,1976 Phoenix FC,2,0
04.01. 01:10,Prison Service,Sando,0,3
03.01. 23:00,Central FC,La Horquetta,0,5
03.01. 23:00,Defence Force,Morvant Caledonia Utd,2,1
03.01. 23:00,Eagles FC,Port Of Spain,1,2
03.01. 23:00,Police,Point Fortin,2,1
