timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1219507200,Galatasaray,Denizlispor,4,1,,,,0
1219514400,Sivasspor,Kayserispor,0,0,,,,0
1219514400,Hacettepe,Bursaspor,1,2,,,,0
1219514400,Basaksehir,Eskisehirspor,0,0,,,,0
1219517100,Gaziantepspor,Fenerbahce,1,0,,,,0
1219593600,Trabzonspor,Ankaraspor,2,0,,,,0
1219600800,Konyaspor,Ankaragucu,3,2,,,,0
1219600800,Genclerbirligi,Kocaelispor,1,1,,,,0
1219603500,Antalyaspor,Besiktas,2,3,,,,0
1220032800,Ankaragucu,Trabzonspor,1,2,,,,0
1220119200,Kocaelispor,Sivasspor,0,2,,,,0
1220119200,Fenerbahce,Basaksehir,2,0,,,,0
1220119200,Ankaraspor,Gaziantepspor,0,2,,,,0
1220205600,Kayserispor,Galatasaray,0,0,,,,0
1220205600,Eskisehirspor,Hacettepe,0,0,,,,0
1220205600,Denizlispor,Antalyaspor,3,2,,,,0
1220205600,Bursaspor,Genclerbirligi,2,0,,,,0
1220292000,Besiktas,Konyaspor,2,0,,,,0
1221321600,Hacettepe,Fenerbahce,2,1,,,,0
1221325200,Konyaspor,Denizlispor,1,1,,,,0
1221325200,Kayserispor,Kocaelispor,1,0,,,,0
1221331500,Galatasaray,Antalyaspor,1,1,,,,0
1221408900,Sivasspor,Bursaspor,3,1,,,,0
1221411600,Genclerbirligi,Eskisehirspor,3,1,,,,0
1221411600,Gaziantepspor,Ankaragucu,2,2,,,,0
1221411600,Basaksehir,Ankaraspor,1,2,,,,0
1221417900,Trabzonspor,Besiktas,0,0,,,,0
1221847200,Denizlispor,Trabzonspor,0,1,,,,0
1221930000,Eskisehirspor,Sivasspor,2,2,,,,0
1221930000,Ankaragucu,Basaksehir,0,0,,,,0
1221933600,Fenerbahce,Genclerbirligi,3,0,,,,0
1222012800,Kocaelispor,Galatasaray,1,4,,,,0
1222016400,Bursaspor,Kayserispor,1,0,,,,0
1222016400,Antalyaspor,Konyaspor,0,1,,,,0
1222016400,Ankaraspor,Hacettepe,4,0,,,,0
1222022700,Besiktas,Gaziantepspor,3,0,,,,0
1222448400,Sivasspor,Fenerbahce,2,1,,,,0
1222532100,Basaksehir,Besiktas,1,1,,,,0
1222534800,Kocaelispor,Bursaspor,2,3,,,,0
1222534800,Genclerbirligi,Ankaraspor,1,1,,,,0
1222541100,Trabzonspor,Antalyaspor,3,2,,,,0
1222621200,Kayserispor,Eskisehirspor,1,0,,,,0
1222621200,Hacettepe,Ankaragucu,0,1,,,,0
1222621200,Gaziantepspor,Denizlispor,2,1,,,,0
1222624800,Galatasaray,Konyaspor,4,1,,,,0
1223139600,Konyaspor,Trabzonspor,2,3,,,,0
1223139600,Antalyaspor,Gaziantepspor,1,4,,,,0
1223139600,Ankaraspor,Sivasspor,2,0,,,,0
1223211600,Denizlispor,Basaksehir,2,1,,,,0
1223218800,Bursaspor,Galatasaray,2,1,,,,0
1223226000,Eskisehirspor,Kocaelispor,2,1,,,,0
1223226000,Ankaragucu,Genclerbirligi,0,2,,,,0
1223229600,Fenerbahce,Kayserispor,1,4,,,,0
1223312400,Besiktas,Hacettepe,2,1,,,,0
1224327600,Hacettepe,Denizlispor,1,0,,,,0
1224327600,Basaksehir,Antalyaspor,2,1,,,,0
1224334800,Bursaspor,Eskisehirspor,1,2,,,,0
1224345600,Kocaelispor,Fenerbahce,2,3,,,,0
1224414000,Sivasspor,Ankaragucu,3,0,,,,0
1224414000,Kayserispor,Ankaraspor,1,2,,,,0
1224414000,Gaziantepspor,Konyaspor,0,1,,,,0
1224421200,Genclerbirligi,Besiktas,1,3,,,,0
1224432000,Galatasaray,Trabzonspor,3,0,,,,0
1224867600,Besiktas,Sivasspor,1,1,,,,0
1224932400,Denizlispor,Genclerbirligi,2,2,,,,0
1224932400,Ankaraspor,Kocaelispor,4,0,,,,0
1224950400,Fenerbahce,Bursaspor,5,2,,,,0
1225022400,Konyaspor,Basaksehir,1,2,,,,0
1225022400,Antalyaspor,Hacettepe,1,1,,,,0
1225022400,Ankaragucu,Kayserispor,1,3,,,,0
1225029600,Trabzonspor,Gaziantepspor,1,1,,,,0
1225040400,Eskisehirspor,Galatasaray,4,2,,,,0
1225540800,Hacettepe,Konyaspor,1,2,,,,0
