timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1710676800,Maroons,Police,OGu3TpGo,x8eSprC5,0,1,,,,0
1710676800,Gaddafi,Kitara,x8eSprC5,bDYRzYxt,1,2,,,,0
1710763200,Lugazi,Villa,6PYnZIcB,OGu3TpGo,0,1,,,,0
1710763200,BUL,Total,OGu3TpGo,8zpJ7UEj,7,0,,,,0
1710777600,Kampala City,Rwenzori Lions,OMb357DJ,YXmcjal1,4,0,,,,0
1710849600,URA SC,Kataka,ldC4rPIn,vBOXKXgD,1,1,Pen,1,2,0
1710849600,Kaaro Karungi,UPDF,xQ6avTHg,bucqktvi,3,0,,,,0
1710864600,Vipers,Blacks Power,OGu3TpGo,nR4fYgsK,3,0,,,,0
1713528000,Kaaro Karungi,Kampala City,xQ6avTHg,OMb357DJ,1,2,,,,0
1713614400,Kitara,BUL,bDYRzYxt,OGu3TpGo,1,0,,,,0
1713715200,Vipers,Villa,OGu3TpGo,OGu3TpGo,1,0,,,,0
1713787200,Police,Kataka,x8eSprC5,vBOXKXgD,0,0,Pen,0,1,0
1714752000,Vipers,Kitara,OGu3TpGo,bDYRzYxt,1,0,,,,0
1714838400,Kampala City,Kataka,OMb357DJ,vBOXKXgD,3,0,,,,0
1715947200,Kitara,Vipers,bDYRzYxt,OGu3TpGo,0,1,,,,0
1716033600,Kataka,Kampala City,vBOXKXgD,OMb357DJ,1,1,,,,0
1717167600,Kampala City,Vipers,OMb357DJ,OGu3TpGo,0,2,,,,0
