timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1440689100,Al Shabab,Dibba Al Fujairah,Ymrd2ee2,COCcK4Lc,3,2,,,,0
1440689400,Bani Yas,Al Nasr,OfEmUdKC,K8vlWhPS,0,1,,,,0
1440770100,Al Wasl,Al Shaab,K8vlWhPS,bTQFt8Qf,2,0,,,,0
1440770400,Al Wahda,Al Fujairah,YXHWp1ah,GOsncUhM,3,3,,,,0
1440780300,Al Jazira,Al Ain,lWIXXvLm,OKa9P8WR,2,2,,,,0
1441034400,Shabab Al-Ahli Dubai,Emirates Club,8zUcYY2j,MHQFRCXq,2,0,,,,0
1441374000,Al Fujairah,Al Sharjah,GOsncUhM,2w51PaQ7,3,1,,,,0
1441374300,Al Nasr,Al Wasl,K8vlWhPS,K8vlWhPS,0,0,,,,0
1441384200,Al Ain,Al Shabab,OKa9P8WR,Ymrd2ee2,1,2,,,,0
1441633200,Emirates Club,Al Dhafra,MHQFRCXq,Uy7I7TU5,4,3,,,,0
1441633200,Dibba Al Fujairah,Al Wahda,COCcK4Lc,YXHWp1ah,3,3,,,,0
1441643400,Al Shaab,Shabab Al-Ahli Dubai,bTQFt8Qf,8zUcYY2j,1,1,,,,0
1444396200,Al Wasl,Bani Yas,K8vlWhPS,OfEmUdKC,2,0,,,,0
1444396800,Al Dhafra,Al Shaab,Uy7I7TU5,bTQFt8Qf,3,1,,,,0
1444406400,Al Wahda,Al Ain,YXHWp1ah,OKa9P8WR,0,0,,,,0
1444482600,Al Sharjah,Dibba Al Fujairah,2w51PaQ7,COCcK4Lc,4,1,,,,0
1444482600,Al Shabab,Al Jazira,Ymrd2ee2,lWIXXvLm,2,1,,,,0
1444492800,Shabab Al-Ahli Dubai,Al Nasr,8zUcYY2j,K8vlWhPS,2,0,,,,0
1446641100,Dibba Al Fujairah,Al Fujairah,COCcK4Lc,GOsncUhM,2,1,,,,0
1446641400,Al Nasr,Al Dhafra,K8vlWhPS,Uy7I7TU5,2,1,,,,0
1446651000,Al Jazira,Al Wahda,lWIXXvLm,YXHWp1ah,2,2,,,,0
1446727800,Al Shaab,Emirates Club,bTQFt8Qf,MHQFRCXq,2,2,,,,0
1446737400,Al Ain,Al Sharjah,OKa9P8WR,2w51PaQ7,1,1,,,,0
1447073100,Emirates Club,Al Nasr,MHQFRCXq,K8vlWhPS,2,1,,,,0
1447074000,Al Dhafra,Bani Yas,Uy7I7TU5,OfEmUdKC,1,0,,,,0
1447083000,Al Wahda,Al Shabab,YXHWp1ah,Ymrd2ee2,1,0,,,,0
1447159800,Al Sharjah,Al Jazira,2w51PaQ7,lWIXXvLm,4,4,,,,0
1447169400,Al Fujairah,Al Ain,GOsncUhM,OKa9P8WR,1,2,,,,0
1447424100,Shabab Al-Ahli Dubai,Al Wasl,8zUcYY2j,K8vlWhPS,0,0,,,,0
1447677900,Al Ain,Dibba Al Fujairah,OKa9P8WR,COCcK4Lc,1,3,,,,0
1447678200,Bani Yas,Emirates Club,OfEmUdKC,MHQFRCXq,4,0,,,,0
1447687800,Al Nasr,Al Shaab,K8vlWhPS,bTQFt8Qf,1,0,,,,0
1447774200,Al Wasl,Al Dhafra,K8vlWhPS,Uy7I7TU5,5,2,,,,0
1447774200,Al Shabab,Al Sharjah,Ymrd2ee2,2w51PaQ7,4,2,,,,0
1447774200,Al Jazira,Al Fujairah,lWIXXvLm,GOsncUhM,1,1,,,,0
1449498000,Bani Yas,Shabab Al-Ahli Dubai,OfEmUdKC,8zUcYY2j,0,0,,,,0
1450183200,Dibba Al Fujairah,Al Jazira,COCcK4Lc,lWIXXvLm,2,0,,,,0
1450183500,Al Shaab,Bani Yas,bTQFt8Qf,OfEmUdKC,2,0,,,,0
1450193400,Emirates Club,Al Wasl,MHQFRCXq,K8vlWhPS,1,4,,,,0
1450193400,Al Sharjah,Al Wahda,2w51PaQ7,YXHWp1ah,0,2,,,,0
1450270500,Al Dhafra,Shabab Al-Ahli Dubai,Uy7I7TU5,8zUcYY2j,1,1,,,,0
1450279800,Al Fujairah,Al Shabab,GOsncUhM,Ymrd2ee2,1,1,,,,0
1453209000,Al Wasl,Al Wahda,K8vlWhPS,YXHWp1ah,1,2,,,,0
1453218300,Al Shabab,Shabab Al-Ahli Dubai,Ymrd2ee2,8zUcYY2j,2,3,,,,0
1459524000,Al Wahda,Al Shabab,YXHWp1ah,Ymrd2ee2,1,0,,,,0
