timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
971022600,Shabab Al-Ahli Dubai,Al Nasr,8zUcYY2j,K8vlWhPS,2,3,,,,0
971022600,Ittihad Kalba,Al Wahda,lUHDtcYu,YXHWp1ah,0,4,,,,0
971022600,Emirates Club,Al Shaab,MHQFRCXq,bTQFt8Qf,0,1,,,,0
971022600,Al Ain,Al Shabab,OKa9P8WR,Ymrd2ee2,0,0,,,,0
971973000,Al Wasl,Al Sharjah,K8vlWhPS,2w51PaQ7,2,2,,,,0
971973000,Al Fujairah,Al Jazira,GOsncUhM,lWIXXvLm,4,8,,,,0
972232200,Al Ain,Al Nasr,OKa9P8WR,K8vlWhPS,3,1,,,,0
972491400,Al Sharjah,Emirates Club,2w51PaQ7,MHQFRCXq,0,1,,,,0
972491400,Al Nasr,Ittihad Kalba,K8vlWhPS,lUHDtcYu,4,2,,,,0
972491400,Al Jazira,Al Wasl,lWIXXvLm,K8vlWhPS,1,2,,,,0
972577800,Al Wahda,Al Ain,YXHWp1ah,OKa9P8WR,1,0,,,,0
972577800,Al Shabab,Al Fujairah,Ymrd2ee2,GOsncUhM,2,0,,,,0
972577800,Al Shaab,Shabab Al-Ahli Dubai,bTQFt8Qf,8zUcYY2j,2,2,,,,0
972840600,Shabab Al-Ahli Dubai,Al Sharjah,8zUcYY2j,2w51PaQ7,3,0,,,,0
972840600,Ittihad Kalba,Al Shaab,lUHDtcYu,bTQFt8Qf,2,1,,,,0
972840600,Emirates Club,Al Wasl,MHQFRCXq,K8vlWhPS,3,3,,,,0
972927000,Al Shabab,Al Jazira,Ymrd2ee2,lWIXXvLm,2,1,,,,0
972927000,Al Fujairah,Al Wahda,GOsncUhM,YXHWp1ah,1,2,,,,0
973099800,Al Wasl,Shabab Al-Ahli Dubai,K8vlWhPS,8zUcYY2j,1,1,,,,0
973099800,Al Sharjah,Ittihad Kalba,2w51PaQ7,lUHDtcYu,0,2,,,,0
973186200,Al Wahda,Al Shabab,YXHWp1ah,Ymrd2ee2,2,0,,,,0
973186200,Al Nasr,Al Fujairah,K8vlWhPS,GOsncUhM,5,1,,,,0
973272600,Al Jazira,Emirates Club,lWIXXvLm,MHQFRCXq,4,2,,,,0
973704600,Ittihad Kalba,Al Wasl,lUHDtcYu,K8vlWhPS,0,1,,,,0
973704600,Al Wahda,Al Jazira,YXHWp1ah,lWIXXvLm,4,2,,,,0
973704600,Al Shabab,Al Nasr,Ymrd2ee2,K8vlWhPS,1,2,,,,0
973791000,Shabab Al-Ahli Dubai,Emirates Club,8zUcYY2j,MHQFRCXq,3,2,,,,0
973791000,Al Fujairah,Al Shaab,GOsncUhM,bTQFt8Qf,1,0,,,,0
973791000,Al Ain,Al Sharjah,OKa9P8WR,2w51PaQ7,1,2,,,,0
974395800,Emirates Club,Ittihad Kalba,MHQFRCXq,lUHDtcYu,2,1,,,,0
974395800,Al Sharjah,Al Fujairah,2w51PaQ7,GOsncUhM,4,1,,,,0
974482200,Al Shaab,Al Shabab,bTQFt8Qf,Ymrd2ee2,5,0,,,,0
974482200,Al Nasr,Al Wahda,K8vlWhPS,YXHWp1ah,3,4,,,,0
974482200,Al Jazira,Shabab Al-Ahli Dubai,lWIXXvLm,8zUcYY2j,1,0,,,,0
974914200,Ittihad Kalba,Shabab Al-Ahli Dubai,lUHDtcYu,8zUcYY2j,2,0,,,,0
974914200,Al Wahda,Al Shaab,YXHWp1ah,bTQFt8Qf,2,2,,,,0
974914200,Al Nasr,Al Jazira,K8vlWhPS,lWIXXvLm,2,2,,,,0
974914200,Al Ain,Emirates Club,OKa9P8WR,MHQFRCXq,1,0,,,,0
975000600,Al Shabab,Al Sharjah,Ymrd2ee2,2w51PaQ7,2,1,,,,0
975000600,Al Fujairah,Al Wasl,GOsncUhM,K8vlWhPS,0,3,,,,0
975173400,Al Shaab,Al Ain,bTQFt8Qf,OKa9P8WR,1,1,,,,0
975605400,Emirates Club,Al Fujairah,MHQFRCXq,GOsncUhM,2,0,,,,0
975605400,Al Wasl,Al Shabab,K8vlWhPS,Ymrd2ee2,3,4,,,,0
975605400,Al Sharjah,Al Wahda,2w51PaQ7,YXHWp1ah,2,5,,,,0
975691800,Shabab Al-Ahli Dubai,Al Ain,8zUcYY2j,OKa9P8WR,1,2,,,,0
975691800,Al Shaab,Al Nasr,bTQFt8Qf,K8vlWhPS,1,1,,,,0
976123800,Al Wahda,Al Wasl,YXHWp1ah,K8vlWhPS,3,2,,,,0
976123800,Al Shabab,Emirates Club,Ymrd2ee2,MHQFRCXq,1,1,,,,0
976123800,Al Shaab,Al Jazira,bTQFt8Qf,lWIXXvLm,0,1,,,,0
976210200,Al Nasr,Al Sharjah,K8vlWhPS,2w51PaQ7,0,1,,,,0
976210200,Al Fujairah,Shabab Al-Ahli Dubai,GOsncUhM,8zUcYY2j,2,4,,,,0
976210200,Al Ain,Ittihad Kalba,OKa9P8WR,lUHDtcYu,6,2,,,,0
976555800,Al Jazira,Ittihad Kalba,lWIXXvLm,lUHDtcYu,3,0,,,,0
976815000,Emirates Club,Al Wahda,MHQFRCXq,YXHWp1ah,1,1,,,,0
976815000,Al Wasl,Al Nasr,K8vlWhPS,K8vlWhPS,6,1,,,,0
976815000,Al Sharjah,Al Shaab,2w51PaQ7,bTQFt8Qf,0,2,,,,0
976815000,Al Jazira,Al Ain,lWIXXvLm,OKa9P8WR,2,1,,,,0
976901400,Shabab Al-Ahli Dubai,Al Shabab,8zUcYY2j,Ymrd2ee2,2,2,,,,0
976901400,Ittihad Kalba,Al Fujairah,lUHDtcYu,GOsncUhM,1,0,,,,0
977074200,Al Wasl,Al Ain,K8vlWhPS,OKa9P8WR,2,1,,,,0
977333400,Al Wahda,Shabab Al-Ahli Dubai,YXHWp1ah,8zUcYY2j,4,5,,,,0
977333400,Al Shabab,Ittihad Kalba,Ymrd2ee2,lUHDtcYu,2,2,,,,0
977333400,Al Fujairah,Al Ain,GOsncUhM,OKa9P8WR,0,1,,,,0
977419800,Al Shaab,Al Wasl,bTQFt8Qf,K8vlWhPS,3,0,,,,0
977419800,Al Nasr,Emirates Club,K8vlWhPS,MHQFRCXq,1,1,,,,0
977419800,Al Jazira,Al Sharjah,lWIXXvLm,2w51PaQ7,0,0,,,,0
977679000,Al Shabab,Al Ain,Ymrd2ee2,OKa9P8WR,2,1,,,,0
978283800,Al Wahda,Ittihad Kalba,YXHWp1ah,lUHDtcYu,3,0,,,,0
978283800,Al Shaab,Emirates Club,bTQFt8Qf,MHQFRCXq,1,1,,,,0
978370200,Al Sharjah,Al Wasl,2w51PaQ7,K8vlWhPS,0,2,,,,0
978370200,Al Nasr,Shabab Al-Ahli Dubai,K8vlWhPS,8zUcYY2j,3,4,,,,0
978370200,Al Jazira,Al Fujairah,lWIXXvLm,GOsncUhM,1,0,,,,0
979147800,Shabab Al-Ahli Dubai,Al Shaab,8zUcYY2j,bTQFt8Qf,2,1,,,,0
979147800,Ittihad Kalba,Al Nasr,lUHDtcYu,K8vlWhPS,2,1,,,,0
979147800,Emirates Club,Al Sharjah,MHQFRCXq,2w51PaQ7,3,2,,,,0
979147800,Al Wasl,Al Jazira,K8vlWhPS,lWIXXvLm,2,3,,,,0
979147800,Al Fujairah,Al Shabab,GOsncUhM,Ymrd2ee2,1,0,,,,0
979752600,Al Wasl,Emirates Club,K8vlWhPS,MHQFRCXq,3,0,,,,0
979752600,Al Wahda,Al Fujairah,YXHWp1ah,GOsncUhM,8,0,,,,0
979752600,Al Shaab,Ittihad Kalba,bTQFt8Qf,lUHDtcYu,2,1,,,,0
979839000,Al Sharjah,Shabab Al-Ahli Dubai,2w51PaQ7,8zUcYY2j,2,3,,,,0
979839000,Al Jazira,Al Shabab,lWIXXvLm,Ymrd2ee2,2,1,,,,0
979925400,Al Nasr,Al Ain,K8vlWhPS,OKa9P8WR,1,1,,,,0
980357400,Shabab Al-Ahli Dubai,Al Wasl,8zUcYY2j,K8vlWhPS,2,0,,,,0
980357400,Ittihad Kalba,Al Sharjah,lUHDtcYu,2w51PaQ7,2,2,,,,0
980357400,Emirates Club,Al Jazira,MHQFRCXq,lWIXXvLm,0,3,,,,0
980443800,Al Shabab,Al Wahda,Ymrd2ee2,YXHWp1ah,2,3,,,,0
980443800,Al Fujairah,Al Nasr,GOsncUhM,K8vlWhPS,0,1,,,,0
980443800,Al Ain,Al Shaab,OKa9P8WR,bTQFt8Qf,1,2,,,,0
980703000,Emirates Club,Shabab Al-Ahli Dubai,MHQFRCXq,8zUcYY2j,0,1,,,,0
980703000,Al Wasl,Ittihad Kalba,K8vlWhPS,lUHDtcYu,1,2,,,,0
980703000,Al Sharjah,Al Ain,2w51PaQ7,OKa9P8WR,1,0,,,,0
980789400,Al Shaab,Al Fujairah,bTQFt8Qf,GOsncUhM,2,1,,,,0
980789400,Al Nasr,Al Shabab,K8vlWhPS,Ymrd2ee2,1,0,,,,0
980789400,Al Jazira,Al Wahda,lWIXXvLm,YXHWp1ah,6,2,,,,0
980962200,Ittihad Kalba,Emirates Club,lUHDtcYu,MHQFRCXq,2,1,,,,0
980962200,Al Ain,Al Wasl,OKa9P8WR,K8vlWhPS,1,0,,,,0
981048600,Al Wahda,Al Nasr,YXHWp1ah,K8vlWhPS,5,2,,,,0
981048600,Al Shabab,Al Shaab,Ymrd2ee2,bTQFt8Qf,3,1,,,,0
981048600,Al Fujairah,Al Sharjah,GOsncUhM,2w51PaQ7,0,1,,,,0
981135000,Shabab Al-Ahli Dubai,Al Jazira,8zUcYY2j,lWIXXvLm,2,1,,,,0
982517400,Al Wasl,Al Fujairah,K8vlWhPS,GOsncUhM,3,0,,,,0
982517400,Al Sharjah,Al Shabab,2w51PaQ7,Ymrd2ee2,2,2,,,,0
982517400,Al Shaab,Al Wahda,bTQFt8Qf,YXHWp1ah,1,1,,,,0
982603800,Shabab Al-Ahli Dubai,Ittihad Kalba,8zUcYY2j,lUHDtcYu,2,1,,,,0
982603800,Emirates Club,Al Ain,MHQFRCXq,OKa9P8WR,2,3,,,,0
982603800,Al Jazira,Al Nasr,lWIXXvLm,K8vlWhPS,1,1,,,,0
982776600,Al Wahda,Al Sharjah,YXHWp1ah,2w51PaQ7,2,1,,,,0
982776600,Al Shabab,Al Wasl,Ymrd2ee2,K8vlWhPS,2,2,,,,0
982863000,Ittihad Kalba,Al Jazira,lUHDtcYu,lWIXXvLm,1,1,,,,0
982863000,Al Nasr,Al Shaab,K8vlWhPS,bTQFt8Qf,1,1,,,,0
982863000,Al Fujairah,Emirates Club,GOsncUhM,MHQFRCXq,1,2,,,,0
982949400,Al Ain,Shabab Al-Ahli Dubai,OKa9P8WR,8zUcYY2j,1,3,,,,0
983122200,Emirates Club,Al Shabab,MHQFRCXq,Ymrd2ee2,2,2,,,,0
983122200,Al Wasl,Al Wahda,K8vlWhPS,YXHWp1ah,0,0,,,,0
983122200,Al Sharjah,Al Nasr,2w51PaQ7,K8vlWhPS,1,2,,,,0
983208600,Shabab Al-Ahli Dubai,Al Fujairah,8zUcYY2j,GOsncUhM,2,1,,,,0
983208600,Ittihad Kalba,Al Ain,lUHDtcYu,OKa9P8WR,1,2,,,,0
983208600,Al Jazira,Al Shaab,lWIXXvLm,bTQFt8Qf,1,1,,,,0
983640600,Al Wahda,Emirates Club,YXHWp1ah,MHQFRCXq,2,1,,,,0
983640600,Al Shabab,Shabab Al-Ahli Dubai,Ymrd2ee2,8zUcYY2j,2,1,,,,0
983640600,Al Shaab,Al Sharjah,bTQFt8Qf,2w51PaQ7,1,0,,,,0
983640600,Al Fujairah,Ittihad Kalba,GOsncUhM,lUHDtcYu,0,2,,,,0
983640600,Al Ain,Al Jazira,OKa9P8WR,lWIXXvLm,3,1,,,,0
983727000,Al Nasr,Al Wasl,K8vlWhPS,K8vlWhPS,2,0,,,,0
984245400,Al Ain,Al Wahda,OKa9P8WR,YXHWp1ah,1,1,,,,0
984591000,Shabab Al-Ahli Dubai,Al Wahda,8zUcYY2j,YXHWp1ah,2,3,,,,0
984591000,Ittihad Kalba,Al Shabab,lUHDtcYu,Ymrd2ee2,1,1,,,,0
984591000,Emirates Club,Al Nasr,MHQFRCXq,K8vlWhPS,2,2,,,,0
984591000,Al Wasl,Al Shaab,K8vlWhPS,bTQFt8Qf,4,1,,,,0
984591000,Al Sharjah,Al Jazira,2w51PaQ7,lWIXXvLm,3,2,,,,0
984591000,Al Ain,Al Fujairah,OKa9P8WR,GOsncUhM,2,1,,,,0
985109400,Al Sharjah,Emirates Club,2w51PaQ7,MHQFRCXq,1,1,Pen,2,1,0
