date,home_team,away_team,home_score,away_score
12.06. 21:00AET,Penarol,Plaza Colonia,3,1
05.06. 20:30,Plaza Colonia,Danubio,0,0
05.06. 20:00,Defensor Sp.,Fenix,1,0
05.06. 20:00,Sisley,Sud America,0,1
05.06. 20:00,Villa Teresa,River Plate,2,0
04.06. 20:00,CA Cerro,Racing Montevideo,1,2
04.06. 20:00,Juventud,Penarol,1,1
04.06. 20:00,Nacional,Liverpool M.,0,2
04.06. 20:00,Wanderers,Rentistas,2,1
29.05. 21:15,Penarol,Plaza Colonia,1,2
29.05. 21:15,Sud America,CA Cerro,2,2
29.05. 20:00,River Plate,Defensor Sp.,1,2
28.05. 20:00,Danubio,Wanderers,1,4
28.05. 20:00,Fenix,Sisley,1,0
28.05. 20:00,Liverpool M.,Villa Teresa,1,0
28.05. 20:00,Racing Montevideo,Juventud,0,0
28.05. 20:00,Rentistas,Nacional,2,0
23.05. 00:00,Nacional,Danubio,0,2
22.05. 20:00,CA Cerro,Fenix,2,1
22.05. 20:00,Liverpool M.,River Plate,1,0
22.05. 20:00,Sisley,Defensor Sp.,5,6
22.05. 20:00,Villa Teresa,Rentistas,1,1
21.05. 23:00,Plaza Colonia,Racing Montevideo,2,2
21.05. 20:00,Juventud,Sud America,0,1
21.05. 20:00,Wanderers,Penarol,4,1
16.05. 00:15,Sud America,Plaza Colonia,0,2
15.05. 20:30,Penarol,Nacional,2,2
15.05. 15:00,Rentistas,Liverpool M.,0,1
14.05. 22:30,Defensor Sp.,CA Cerro,1,0
14.05. 20:00,Danubio,Villa Teresa,1,1
14.05. 20:00,Fenix,Juventud,2,2
14.05. 20:00,Racing Montevideo,Wanderers,1,3
14.05. 20:00,River Plate,Sisley,1,0
09.05. 00:00,Nacional,Racing Montevideo,1,0
08.05. 20:30,Liverpool M.,Danubio,0,3
08.05. 20:00,Juventud,Defensor Sp.,2,1
08.05. 20:00,Rentistas,River Plate,2,1
08.05. 18:00,CA Cerro,Sisley,2,0
08.05. 00:00,Villa Teresa,Penarol,0,3
07.05. 21:00,Plaza Colonia,Fenix,1,0
07.05. 20:00,Wanderers,Sud America,0,2
01.05. 00:00,Sud America,Nacional,1,1
30.04. 20:30,Defensor Sp.,Plaza Colonia,1,1
30.04. 18:00,Fenix,Wanderers,2,1
30.04. 15:30,River Plate,CA Cerro,3,1
30.04. 02:30,Penarol,Liverpool M.,1,0
30.04. 00:00,Sisley,Juventud,0,2
29.04. 20:30,Danubio,Rentistas,1,2
28.04. 20:30,Racing Montevideo,Villa Teresa,2,3
25.04. 00:00,Rentistas,Penarol,1,3
24.04. 20:30,Danubio,River Plate,0,3
24.04. 20:30,Juventud,CA Cerro,1,3
24.04. 20:30,Villa Teresa,Sud America,0,1
24.04. 00:45,Nacional,Fenix,1,0
23.04. 20:30,Liverpool M.,Racing Montevideo,3,2
23.04. 20:30,Plaza Colonia,Sisley,2,1
23.04. 20:30,Wanderers,Defensor Sp.,0,0
11.04. 00:00,Defensor Sp.,Nacional,2,4
10.04. 20:30,CA Cerro,Plaza Colonia,0,0
10.04. 20:30,River Plate,Juventud,0,0
10.04. 20:30,Sisley,Wanderers,1,3
10.04. 01:00,Sud America,Liverpool M.,0,3
10.04. 00:00,Penarol,Danubio,2,1
09.04. 20:30,Fenix,Villa Teresa,1,0
09.04. 20:30,Racing Montevideo,Rentistas,0,3
03.04. 23:00,Penarol,River Plate,0,2
03.04. 20:30,Liverpool M.,Fenix,1,1
03.04. 20:30,Rentistas,Sud America,1,0
03.04. 20:00,Wanderers,CA Cerro,3,1
03.04. 00:00,Nacional,Sisley,3,1
02.04. 21:00,Plaza Colonia,Juventud,1,2
02.04. 20:30,Danubio,Racing Montevideo,1,1
02.04. 20:30,Villa Teresa,Defensor Sp.,2,2
21.03. 00:00,Defensor Sp.,Liverpool M.,1,2
20.03. 20:30,Juventud,Wanderers,3,3
20.03. 19:00,CA Cerro,Nacional,1,0
20.03. 14:30,River Plate,Plaza Colonia,0,1
20.03. 00:00,Racing Montevideo,Penarol,0,1
20.03. 00:00,Sud America,Danubio,2,1
19.03. 20:30,Fenix,Rentistas,1,1
19.03. 00:00,Sisley,Villa Teresa,0,1
07.03. 00:00,Nacional,Juventud,1,1
06.03. 20:30,Racing Montevideo,River Plate,0,1
06.03. 20:30,Rentistas,Defensor Sp.,0,1
06.03. 20:30,Wanderers,Plaza Colonia,0,1
06.03. 14:30,Danubio,Fenix,0,2
06.03. 00:00,Penarol,Sud America,1,1
05.03. 20:30,Liverpool M.,Sisley,0,1
05.03. 20:30,Villa Teresa,CA Cerro,0,1
29.02. 00:00,Plaza Colonia,Nacional,2,0
28.02. 20:30,CA Cerro,Liverpool M.,1,0
28.02. 20:30,Defensor Sp.,Danubio,3,2
28.02. 20:30,Sisley,Rentistas,2,1
28.02. 00:00,Fenix,Penarol,2,0
27.02. 20:30,Juventud,Villa Teresa,0,1
27.02. 20:30,Sud America,Racing Montevideo,2,2
27.02. 19:30,River Plate,Wanderers,1,1
22.02. 00:00,Penarol,Defensor Sp.,5,1
21.02. 20:30,Danubio,Sisley,3,3
