timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1621101600,Villa Espanola,Progreso,0,0,,,,0
1621109700,Wanderers,Boston River,1,0,,,,0
1621117800,Montevideo City,Sud America,0,1,,,,0
1621188000,Rentistas,Fenix,0,3,,,,0
1621196100,Maldonado,Liverpool M.,2,4,,,,0
1621204200,Cerrito,River Plate,3,1,,,,0
1621695600,Boston River,Rentistas,1,2,,,,0
1621706400,Fenix,Penarol,0,0,,,,0
1621714500,Cerro Largo,Cerrito,3,1,,,,0
1621782000,Plaza Colonia,Montevideo City,1,0,,,,0
1621792800,Progreso,Nacional,1,3,,,,0
1621800900,Wanderers,Maldonado,0,0,,,,0
1621879200,River Plate,Liverpool M.,3,2,,,,0
1621887300,Sud America,Villa Espanola,2,1,,,,0
1622304000,Liverpool M.,Cerro Largo,3,0,,,,0
1622312100,Villa Espanola,Plaza Colonia,1,3,,,,0
1622320200,Cerrito,Progreso,0,0,,,,0
1622397600,Maldonado,River Plate,0,0,,,,0
1622408400,Penarol,Boston River,5,2,,,,0
1622417400,Nacional,Sud America,1,0,,,,0
1622484000,Rentistas,Wanderers,0,1,,,,0
1622492100,Montevideo City,Fenix,2,0,,,,0
1622667600,Penarol,Plaza Colonia,0,0,,,,0
1622676600,Nacional,Cerro Largo,1,2,,,,0
1622829600,Progreso,Liverpool M.,1,3,,,,0
1622916000,Plaza Colonia,Nacional,1,2,,,,0
1622924100,Sud America,Cerrito,0,0,,,,0
1622994300,Boston River,Montevideo City,1,2,,,,0
1623002400,Rentistas,Maldonado,0,2,,,,0
1623010500,Cerro Largo,River Plate,2,4,,,,0
1623021300,Wanderers,Penarol,0,0,,,,0
1623088800,Fenix,Villa Espanola,1,0,,,,0
1623434400,Liverpool M.,Sud America,5,0,,,,0
1623442500,Montevideo City,Wanderers,2,1,,,,0
1623520800,River Plate,Progreso,4,0,,,,0
1623528900,Cerrito,Plaza Colonia,1,2,,,,0
1623539700,Penarol,Rentistas,1,1,,,,0
1623598200,Maldonado,Cerro Largo,2,1,,,,0
1623609000,Nacional,Fenix,3,1,,,,0
1623693600,Villa Espanola,Boston River,2,2,,,,0
1623952800,Plaza Colonia,Liverpool M.,2,1,,,,0
1624031100,Rentistas,Montevideo City,0,2,,,,0
1624039200,Fenix,Cerrito,1,3,,,,0
1624107600,Sud America,River Plate,1,2,,,,0
1624115700,Progreso,Cerro Largo,0,0,,,,0
1624125600,Boston River,Nacional,1,1,,,,0
1624133700,Wanderers,Villa Espanola,3,0,,,,0
1624214700,Penarol,Maldonado,4,0,,,,0
1624376700,Liverpool M.,Fenix,5,2,,,,0
1624384800,River Plate,Plaza Colonia,0,1,,,,0
1624392900,Cerro Largo,Sud America,2,1,,,,0
1624401000,Cerrito,Boston River,1,0,,,,0
1624464000,Villa Espanola,Rentistas,0,1,,,,0
1624473900,Montevideo City,Penarol,0,1,,,,0
1624550400,Maldonado,Progreso,1,1,,,,0
1624560300,Nacional,Wanderers,3,0,,,,0
1624730400,Fenix,River Plate,3,4,,,,0
1624741200,Penarol,Villa Espanola,1,1,,,,0
1624806000,Boston River,Liverpool M.,1,1,,,,0
1624816800,Rentistas,Nacional,1,1,,,,0
1624903200,Plaza Colonia,Cerro Largo,1,1,,,,0
1624911300,Montevideo City,Maldonado,2,3,,,,0
1624989600,Sud America,Progreso,2,4,,,,0
1624997700,Wanderers,Cerrito,1,0,,,,0
1625323500,Villa Espanola,Montevideo City,2,3,,,,0
1625331600,River Plate,Boston River,1,1,,,,0
1625339700,Cerro Largo,Fenix,1,2,,,,0
1625410800,Maldonado,Sud America,1,3,,,,0
1625425200,Nacional,Penarol,2,0,,,,0
1625508000,Progreso,Plaza Colonia,1,2,,,,0
1625517900,Cerrito,Rentistas,0,1,,,,0
1625594400,Liverpool M.,Wanderers,2,1,,,,0
1625931900,Villa Espanola,Maldonado,2,0,,,,0
1625940000,Plaza Colonia,Sud America,1,0,,,,0
1625948100,Wanderers,River Plate,1,2,,,,0
1626016500,Boston River,Cerro Largo,1,0,,,,0
1626026400,Fenix,Progreso,2,1,,,,0
1626037200,Montevideo City,Nacional,3,0,,,,0
1626046200,Penarol,Cerrito,2,0,,,,0
1626112800,Rentistas,Liverpool M.,2,1,,,,0
1626458400,Progreso,Boston River,1,0,,,,0
1626536700,River Plate,Rentistas,0,0,,,,0
1626544800,Maldonado,Plaza Colonia,0,1,,,,0
1626552900,Cerro Largo,Wanderers,2,0,,,,0
1627149600,Sud America,Fenix,1,1,,,,0
1627164900,Montevideo City,Cerrito,0,2,,,,0
1627236000,Liverpool M.,Penarol,3,3,,,,0
1627246800,Nacional,Villa Espanola,3,0,,,,0
1627668000,Rentistas,Cerro Largo,1,3,,,,0
1627754400,Boston River,Sud America,2,0,,,,0
1627762500,Wanderers,Progreso,2,0,,,,0
1627832700,Montevideo City,Liverpool M.,0,3,,,,0
1627840800,Fenix,Plaza Colonia,0,1,,,,0
1627851600,Penarol,River Plate,2,0,,,,0
1627860600,Nacional,Maldonado,2,0,,,,0
1627927200,Villa Espanola,Cerrito,1,1,,,,0
1628272800,Progreso,Rentistas,2,2,,,,0
1628283600,Cerro Largo,Penarol,0,1,,,,0
1628359200,River Plate,Montevideo City,3,3,,,,0
1628445600,Liverpool M.,Villa Espanola,2,2,,,,0
1628456400,Cerrito,Nacional,2,0,,,,0
1628523900,Sud America,Wanderers,1,0,,,,0
1628532000,Plaza Colonia,Boston River,0,0,,,,0
1628618400,Maldonado,Fenix,0,0,,,,0
1628949600,Rentistas,Sud America,1,2,,,,0
1628978400,Penarol,Progreso,1,0,,,,0
1629044100,Villa Espanola,River Plate,1,1,,,,0
1629052200,Montevideo City,Cerro Largo,3,0,,,,0
1629061200,Nacional,Liverpool M.,1,0,,,,0
1629070200,Wanderers,Plaza Colonia,0,2,,,,0
1629136800,Boston River,Fenix,0,2,,,,0
1629144900,Cerrito,Maldonado,0,0,,,,0
1629474300,Progreso,Montevideo City,1,4,,,,0
1629482400,Fenix,Wanderers,2,1,,,,0
1629551700,Liverpool M.,Cerrito,3,0,,,,0
1629559800,Maldonado,Boston River,0,2,,,,0
1629568800,River Plate,Nacional,2,0,,,,0
1629646200,Plaza Colonia,Rentistas,2,0,,,,0
1629655200,Sud America,Penarol,1,1,,,,0
1629664200,Cerro Largo,Villa Espanola,3,1,,,,0
1631376900,Sud America,Montevideo City,1,2,,,,1
1631385000,River Plate,Cerrito,1,0,,,,0
1631395800,Cerro Largo,Nacional,1,1,,,,1
1631452500,Fenix,Rentistas,3,1,,,,0
1631460600,Boston River,Wanderers,1,3,,,,0
1631471400,Plaza Colonia,Penarol,1,2,,,,0
1631549700,Liverpool M.,Maldonado,1,0,,,,0
1631557800,Progreso,Villa Espanola,1,1,,,,0
1631903400,Rentistas,Boston River,1,2,,,,0
1631919600,Penarol,Fenix,0,0,,,,0
1631981700,Cerrito,Cerro Largo,1,1,,,,0
1631989800,Villa Espanola,Sud America,1,2,,,,0
1632065400,Liverpool M.,River Plate,3,1,,,,0
1632076200,Nacional,Progreso,0,1,,,,0
1632084300,Montevideo City,Plaza Colonia,2,2,,,,0
1632162600,Maldonado,Wanderers,1,3,,,,0
1632520800,Plaza Colonia,Villa Espanola,4,0,,,,0
1632586500,River Plate,Maldonado,1,2,,,,0
1632594600,Cerro Largo,Liverpool M.,3,0,,,,0
1632605400,Sud America,Nacional,0,2,,,,0
1632662100,Progreso,Cerrito,0,1,,,,0
1632670200,Fenix,Montevideo City,1,1,,,,0
1632681000,Boston River,Penarol,2,5,,,,0
1632689100,Wanderers,Rentistas,2,1,,,,0
1633114800,Maldonado,Rentistas,2,1,,,,0
1633133700,Cerrito,Sud America,2,0,,,,0
1633191300,Villa Espanola,Fenix,1,2,,,,0
1633199400,River Plate,Cerro Largo,0,4,,,,0
1633275000,Liverpool M.,Progreso,0,1,,,,0
1633285800,Nacional,Plaza Colonia,2,1,,,,0
1633294800,Montevideo City,Boston River,4,3,,,,0
1633305600,Penarol,Wanderers,3,0,,,,0
1633734000,Cerro Largo,Maldonado,1,1,,,,0
1633785300,Progreso,River Plate,1,0,,,,0
1633804200,Rentistas,Penarol,0,1,,,,0
1633812300,Wanderers,Montevideo City,0,1,,,,0
1633870800,Boston River,Villa Espanola,1,0,,,,0
1633878900,Sud America,Liverpool M.,0,1,,,,0
1633887900,Fenix,Nacional,1,2,,,,0
1633980600,Plaza Colonia,Cerrito,3,3,,,,0
1634391000,River Plate,Sud America,5,1,,,,0
1634399100,Montevideo City,Rentistas,1,2,,,,0
1634407200,Liverpool M.,Plaza Colonia,0,1,,,,0
1634418000,Nacional,Boston River,3,2,,,,0
1634476500,Villa Espanola,Wanderers,2,2,,,,0
1634484600,Cerro Largo,Progreso,1,0,,,,0
1634495400,Maldonado,Penarol,1,0,,,,0
1634503500,Cerrito,Fenix,2,4,,,,0
1634735700,Rentistas,Villa Espanola,3,1,,,,0
1634753700,Fenix,Liverpool M.,1,1,,,,0
1634761800,Plaza Colonia,River Plate,0,0,,,,0
1634772600,Penarol,Montevideo City,3,1,,,,0
1634824800,Sud America,Cerro Largo,0,0,,,,0
1634832900,Boston River,Cerrito,3,2,,,,0
1634841000,Progreso,Maldonado,2,0,,,,0
1634859000,Wanderers,Nacional,1,0,,,,0
1635026400,Villa Espanola,Penarol,1,3,,,,0
1635081300,Maldonado,Montevideo City,2,1,,,,0
1635099300,Liverpool M.,Boston River,2,2,,,,0
1635107400,Cerrito,Wanderers,2,2,,,,0
1635118200,Nacional,Rentistas,2,2,,,,0
1635167700,Progreso,Sud America,0,0,,,,0
1635180300,Cerro Largo,Plaza Colonia,1,0,,,,0
1635188400,River Plate,Fenix,0,0,,,,0
1635533100,Rentistas,Cerrito,1,2,,,,0
1635544800,Wanderers,Liverpool M.,1,0,,,,0
1635599700,Boston River,River Plate,1,2,,,,0
1635620400,Sud America,Maldonado,1,1,,,,0
1635628500,Plaza Colonia,Progreso,2,1,,,,0
1635636600,Montevideo City,Villa Espanola,5,0,,,,0
1635685200,Fenix,Cerro Largo,1,4,,,,0
1635706800,Penarol,Nacional,0,0,,,,0
1635857100,Maldonado,Villa Espanola,0,1,,,,0
1635943500,River Plate,Wanderers,0,1,,,,0
1635967800,Liverpool M.,Rentistas,0,1,,,,0
1635984000,Nacional,Montevideo City,2,0,,,,0
1636029900,Progreso,Fenix,1,0,,,,0
1636054200,Cerro Largo,Boston River,1,1,,,,0
1636062300,Sud America,Plaza Colonia,1,1,,,,0
1636072200,Cerrito,Penarol,1,3,,,,0
1636227000,Rentistas,River Plate,1,0,,,,0
