timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1331420400,Vancouver Whitecaps,CF Montreal,nJrkMuTE,APghxIAJ,2,0,,,,0
1331420400,Colorado Rapids,Columbus Crew,fyzFgPy8,OrE2LMh8,2,0,,,,0
1331425800,DC United,Sporting Kansas City,QqhL41wo,88w2wUnG,0,1,,,,0
1331436600,San Jose Earthquakes,New England Revolution,GpqxHjf5,KI53uaQC,1,0,,,,0
1331436600,Los Angeles Galaxy,Real Salt Lake,nqhLBCKD,vgy39tSd,1,3,,,,0
1331492400,FC Dallas,New York Red Bulls,W2EojdRP,h8cXfa4q,2,1,,,,0
1331506800,Chivas USA,Houston Dynamo,W2EojdRP,YLT3ZeZm,0,1,,,,0
1331602200,Portland Timbers,Philadelphia Union,xf2WUeO1,juuH5vx4,3,1,,,,0
1332007200,CF Montreal,Chicago Fire,APghxIAJ,0lw00xPr,1,1,,,,0
1332018000,San Jose Earthquakes,Houston Dynamo,GpqxHjf5,YLT3ZeZm,0,1,,,,0
1332030600,Sporting Kansas City,New England Revolution,88w2wUnG,KI53uaQC,3,0,,,,0
1332030600,FC Dallas,Portland Timbers,W2EojdRP,xf2WUeO1,1,1,,,,0
1332036000,Seattle Sounders,Toronto FC,Q7Ql2Qbi,tnwDCzLD,3,1,,,,0
1332036000,Real Salt Lake,New York Red Bulls,vgy39tSd,h8cXfa4q,2,0,,,,0
1332037800,Chivas USA,Vancouver Whitecaps,W2EojdRP,nJrkMuTE,0,1,,,,0
1332100800,Philadelphia Union,Colorado Rapids,juuH5vx4,fyzFgPy8,1,2,,,,0
1332111600,Los Angeles Galaxy,DC United,nqhLBCKD,QqhL41wo,3,1,,,,0
1332554400,Seattle Sounders,Houston Dynamo,Q7Ql2Qbi,YLT3ZeZm,2,0,,,,0
1332608400,Toronto FC,San Jose Earthquakes,tnwDCzLD,GpqxHjf5,0,3,,,,0
1332619200,New England Revolution,Portland Timbers,KI53uaQC,xf2WUeO1,1,0,,,,0
1332619200,Columbus Crew,CF Montreal,OrE2LMh8,APghxIAJ,2,0,,,,0
1332635400,Chicago Fire,Philadelphia Union,0lw00xPr,juuH5vx4,1,0,,,,0
1332637200,Real Salt Lake,Chivas USA,vgy39tSd,W2EojdRP,0,1,,,,0
1332644400,Vancouver Whitecaps,DC United,nJrkMuTE,QqhL41wo,0,0,,,,0
1332705600,New York Red Bulls,Colorado Rapids,h8cXfa4q,fyzFgPy8,4,1,,,,0
1332716400,Sporting Kansas City,FC Dallas,88w2wUnG,W2EojdRP,2,1,,,,0
1333150200,DC United,FC Dallas,QqhL41wo,W2EojdRP,4,1,,,,0
1333216800,Toronto FC,Columbus Crew,tnwDCzLD,OrE2LMh8,0,1,,,,0
1333224000,Philadelphia Union,Vancouver Whitecaps,juuH5vx4,nJrkMuTE,0,0,,,,0
1333224000,New York Red Bulls,CF Montreal,h8cXfa4q,APghxIAJ,5,2,,,,0
1333245600,Seattle Sounders,San Jose Earthquakes,Q7Ql2Qbi,GpqxHjf5,0,1,,,,0
1333245600,Portland Timbers,Real Salt Lake,xf2WUeO1,vgy39tSd,2,3,,,,0
1333249200,Los Angeles Galaxy,New England Revolution,nqhLBCKD,KI53uaQC,1,3,,,,0
1333321200,Colorado Rapids,Chicago Fire,fyzFgPy8,0lw00xPr,2,0,,,,0
1333328400,Chivas USA,Sporting Kansas City,W2EojdRP,88w2wUnG,0,1,,,,0
1333587600,Real Salt Lake,CF Montreal,vgy39tSd,APghxIAJ,1,0,,,,0
1333672200,FC Dallas,New England Revolution,W2EojdRP,KI53uaQC,1,0,,,,0
1333814400,CF Montreal,Toronto FC,APghxIAJ,tnwDCzLD,2,1,,,,0
1333825200,Columbus Crew,New York Red Bulls,OrE2LMh8,h8cXfa4q,1,4,,,,0
1333828800,Sporting Kansas City,Los Angeles Galaxy,88w2wUnG,nqhLBCKD,1,0,,,,0
1333839600,San Jose Earthquakes,Vancouver Whitecaps,GpqxHjf5,nJrkMuTE,3,1,,,,0
1333841400,DC United,Seattle Sounders,QqhL41wo,Q7Ql2Qbi,0,0,,,,0
1333846800,Real Salt Lake,Colorado Rapids,vgy39tSd,fyzFgPy8,2,0,,,,0
1333852200,Portland Timbers,Chivas USA,xf2WUeO1,W2EojdRP,1,2,,,,0
1334431800,Philadelphia Union,Columbus Crew,juuH5vx4,OrE2LMh8,1,0,,,,0
1334433600,Seattle Sounders,Colorado Rapids,Q7Ql2Qbi,fyzFgPy8,1,0,,,,0
1334433600,New England Revolution,DC United,KI53uaQC,QqhL41wo,1,2,,,,0
1334435400,Toronto FC,Chivas USA,tnwDCzLD,W2EojdRP,0,1,,,,0
1334444400,New York Red Bulls,San Jose Earthquakes,h8cXfa4q,GpqxHjf5,2,2,,,,0
1334449800,Sporting Kansas City,Real Salt Lake,88w2wUnG,vgy39tSd,1,0,,,,0
1334449800,FC Dallas,CF Montreal,W2EojdRP,APghxIAJ,2,1,,,,0
1334457000,Los Angeles Galaxy,Portland Timbers,nqhLBCKD,xf2WUeO1,3,1,,,,0
1334530800,Chicago Fire,Houston Dynamo,0lw00xPr,YLT3ZeZm,1,1,,,,0
1334791800,DC United,CF Montreal,QqhL41wo,APghxIAJ,1,1,,,,0
1334800800,Vancouver Whitecaps,Sporting Kansas City,nJrkMuTE,88w2wUnG,1,3,,,,0
1335036600,Toronto FC,Chicago Fire,tnwDCzLD,0lw00xPr,2,3,,,,0
1335051000,Columbus Crew,Houston Dynamo,OrE2LMh8,YLT3ZeZm,2,2,,,,0
1335056400,Colorado Rapids,Los Angeles Galaxy,fyzFgPy8,nqhLBCKD,1,2,,,,0
1335060000,Vancouver Whitecaps,FC Dallas,nJrkMuTE,W2EojdRP,1,0,,,,0
1335061800,San Jose Earthquakes,Real Salt Lake,GpqxHjf5,vgy39tSd,3,1,,,,0
1335061800,Portland Timbers,Sporting Kansas City,xf2WUeO1,88w2wUnG,1,0,,,,0
1335061800,Chivas USA,Philadelphia Union,W2EojdRP,juuH5vx4,0,1,,,,0
1335132000,DC United,New York Red Bulls,QqhL41wo,h8cXfa4q,4,1,,,,0
1335400200,FC Dallas,Real Salt Lake,W2EojdRP,vgy39tSd,1,1,,,,0
1335636000,CF Montreal,Portland Timbers,APghxIAJ,xf2WUeO1,2,0,,,,0
1335641400,New York Red Bulls,New England Revolution,h8cXfa4q,KI53uaQC,1,0,,,,0
1335654000,Philadelphia Union,San Jose Earthquakes,juuH5vx4,GpqxHjf5,1,2,,,,0
1335655800,DC United,Houston Dynamo,QqhL41wo,YLT3ZeZm,3,2,,,,0
1335655800,Columbus Crew,Vancouver Whitecaps,OrE2LMh8,nJrkMuTE,0,1,,,,0
1335659400,Chicago Fire,Seattle Sounders,0lw00xPr,Q7Ql2Qbi,1,2,,,,0
1335661200,Real Salt Lake,Toronto FC,vgy39tSd,tnwDCzLD,3,2,,,,0
1335661200,Colorado Rapids,Chivas USA,fyzFgPy8,W2EojdRP,4,0,,,,0
1335666600,Los Angeles Galaxy,FC Dallas,nqhLBCKD,W2EojdRP,1,1,,,,0
1336003200,New England Revolution,Colorado Rapids,KI53uaQC,fyzFgPy8,2,1,,,,0
1336010400,Seattle Sounders,Los Angeles Galaxy,Q7Ql2Qbi,nqhLBCKD,2,0,,,,0
1336012200,San Jose Earthquakes,DC United,GpqxHjf5,QqhL41wo,5,3,,,,0
1336186800,Chivas USA,Chicago Fire,W2EojdRP,0lw00xPr,1,2,,,,0
1336248000,Toronto FC,DC United,tnwDCzLD,QqhL41wo,0,2,,,,0
1336249800,Seattle Sounders,Philadelphia Union,Q7Ql2Qbi,juuH5vx4,1,0,,,,0
1336258800,Vancouver Whitecaps,San Jose Earthquakes,nJrkMuTE,GpqxHjf5,2,1,,,,0
1336262400,Los Angeles Galaxy,New York Red Bulls,nqhLBCKD,h8cXfa4q,0,1,,,,0
1336264200,Sporting Kansas City,CF Montreal,88w2wUnG,APghxIAJ,0,2,,,,0
1336266000,Real Salt Lake,New England Revolution,vgy39tSd,KI53uaQC,2,1,,,,0
1336271400,Portland Timbers,Columbus Crew,xf2WUeO1,OrE2LMh8,0,0,,,,0
1336345200,FC Dallas,Colorado Rapids,W2EojdRP,fyzFgPy8,0,2,,,,0
1336604400,New York Red Bulls,Houston Dynamo,h8cXfa4q,YLT3ZeZm,1,0,,,,0
1336609800,FC Dallas,Seattle Sounders,W2EojdRP,Q7Ql2Qbi,0,2,,,,0
1336609800,Chicago Fire,Real Salt Lake,0lw00xPr,vgy39tSd,0,0,,,,0
1336852800,CF Montreal,Los Angeles Galaxy,APghxIAJ,nqhLBCKD,1,1,,,,0
1336854600,Houston Dynamo,DC United,YLT3ZeZm,QqhL41wo,1,0,,,,0
1336865400,New England Revolution,Vancouver Whitecaps,KI53uaQC,nJrkMuTE,4,1,,,,0
1336865400,Columbus Crew,FC Dallas,OrE2LMh8,W2EojdRP,2,1,,,,0
1336869000,Chicago Fire,Sporting Kansas City,0lw00xPr,88w2wUnG,2,1,,,,0
1336874400,Seattle Sounders,Real Salt Lake,Q7Ql2Qbi,vgy39tSd,0,1,,,,0
1336926600,Philadelphia Union,New York Red Bulls,juuH5vx4,h8cXfa4q,2,3,,,,0
1336950000,San Jose Earthquakes,Chivas USA,GpqxHjf5,W2EojdRP,1,1,,,,0
1337128200,Houston Dynamo,Portland Timbers,YLT3ZeZm,xf2WUeO1,0,0,,,,0
1337211000,DC United,Colorado Rapids,QqhL41wo,fyzFgPy8,2,0,,,,0
1337461200,Vancouver Whitecaps,Seattle Sounders,nJrkMuTE,Q7Ql2Qbi,2,2,,,,0
1337470200,New England Revolution,Houston Dynamo,KI53uaQC,YLT3ZeZm,2,2,,,,0
1337470200,DC United,Toronto FC,QqhL41wo,tnwDCzLD,3,1,,,,0
1337470200,CF Montreal,New York Red Bulls,APghxIAJ,h8cXfa4q,1,2,,,,0
1337473800,FC Dallas,Philadelphia Union,W2EojdRP,juuH5vx4,1,1,,,,0
1337475600,Colorado Rapids,Sporting Kansas City,fyzFgPy8,88w2wUnG,2,2,,,,0
1337481000,San Jose Earthquakes,Columbus Crew,GpqxHjf5,OrE2LMh8,1,1,,,,0
1337481000,Chivas USA,Los Angeles Galaxy,W2EojdRP,nqhLBCKD,1,0,,,,0
1337554800,Portland Timbers,Chicago Fire,xf2WUeO1,0lw00xPr,2,1,,,,0
1337814000,New York Red Bulls,Chivas USA,h8cXfa4q,W2EojdRP,1,1,,,,0
1337819400,Chicago Fire,FC Dallas,0lw00xPr,W2EojdRP,2,1,,,,0
1337824800,Seattle Sounders,Columbus Crew,Q7Ql2Qbi,OrE2LMh8,0,2,,,,0
1337826600,Los Angeles Galaxy,San Jose Earthquakes,nqhLBCKD,GpqxHjf5,2,3,,,,0
1338057000,Houston Dynamo,Los Angeles Galaxy,YLT3ZeZm,nqhLBCKD,2,1,,,,0
1338064200,Toronto FC,Philadelphia Union,tnwDCzLD,juuH5vx4,1,0,,,,0
1338073200,Columbus Crew,Chicago Fire,OrE2LMh8,0lw00xPr,2,1,,,,0
1338075000,DC United,New England Revolution,QqhL41wo,KI53uaQC,3,2,,,,0
1338080400,Real Salt Lake,FC Dallas,vgy39tSd,W2EojdRP,3,2,,,,0
1338080400,Colorado Rapids,CF Montreal,fyzFgPy8,APghxIAJ,3,2,,,,0
1338084000,Portland Timbers,Vancouver Whitecaps,xf2WUeO1,nJrkMuTE,1,1,,,,0
1338085800,Chivas USA,Seattle Sounders,W2EojdRP,Q7Ql2Qbi,1,1,,,,0
1338150600,Sporting Kansas City,San Jose Earthquakes,88w2wUnG,GpqxHjf5,2,1,,,,0
1338679800,New England Revolution,Chicago Fire,KI53uaQC,0lw00xPr,2,0,,,,0
1339369200,Vancouver Whitecaps,Houston Dynamo,nJrkMuTE,YLT3ZeZm,3,1,,,,0
1339887600,Vancouver Whitecaps,Colorado Rapids,nJrkMuTE,fyzFgPy8,1,0,,,,0
1339887600,Philadelphia Union,DC United,juuH5vx4,QqhL41wo,0,1,,,,0
1339889400,New England Revolution,Columbus Crew,KI53uaQC,OrE2LMh8,0,0,,,,0
1339889400,Houston Dynamo,FC Dallas,YLT3ZeZm,W2EojdRP,2,1,,,,0
1339889400,CF Montreal,Seattle Sounders,APghxIAJ,Q7Ql2Qbi,4,1,,,,0
1339893000,Sporting Kansas City,Toronto FC,88w2wUnG,tnwDCzLD,2,0,,,,0
1339900200,Chivas USA,Real Salt Lake,W2EojdRP,vgy39tSd,0,3,,,,0
1339966800,Chicago Fire,New York Red Bulls,0lw00xPr,h8cXfa4q,3,1,,,,0
1339974000,Los Angeles Galaxy,Portland Timbers,nqhLBCKD,xf2WUeO1,1,0,,,,0
1340240400,Real Salt Lake,Los Angeles Galaxy,vgy39tSd,nqhLBCKD,2,3,,,,0
1340240400,Houston Dynamo,Toronto FC,YLT3ZeZm,tnwDCzLD,3,3,,,,0
1340242200,Colorado Rapids,San Jose Earthquakes,fyzFgPy8,GpqxHjf5,1,2,,,,0
1340244000,Seattle Sounders,Sporting Kansas City,Q7Ql2Qbi,88w2wUnG,1,1,,,,0
1340245800,Chivas USA,CF Montreal,W2EojdRP,APghxIAJ,2,1,,,,0
1340247600,Vancouver Whitecaps,New York Red Bulls,nJrkMuTE,h8cXfa4q,1,1,,,,0
