timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1457289000,New York Red Bulls,Toronto FC,0,2,,,,0
1457290800,Orlando City,Real Salt Lake,2,2,,,,0
1457290800,Chicago Fire,New York City,3,4,,,,0
1457294400,San Jose Earthquakes,Colorado Rapids,1,0,,,,0
1457294400,Houston Dynamo,New England Revolution,3,3,,,,0
1457294400,FC Dallas,Philadelphia Union,2,0,,,,0
1457299800,Portland Timbers,Columbus Crew,2,1,,,,0
1457303400,Vancouver Whitecaps,CF Montreal,2,3,,,,0
1457308800,Seattle Sounders,Sporting Kansas City,0,1,,,,0
1457319600,Los Angeles Galaxy,DC United,4,1,,,,0
1457740800,Orlando City,Chicago Fire,1,1,,,,0
1457812800,New England Revolution,DC United,0,0,,,,0
1457816400,Real Salt Lake,Seattle Sounders,2,1,,,,0
1457816400,CF Montreal,New York Red Bulls,3,0,,,,0
1457827200,Colorado Rapids,Los Angeles Galaxy,1,0,,,,0
1457829000,Columbus Crew,Philadelphia Union,1,2,,,,0
1457832600,Sporting Kansas City,Vancouver Whitecaps,2,1,,,,0
1457832600,Houston Dynamo,FC Dallas,5,0,,,,0
1457902800,New York City,Toronto FC,2,2,,,,0
1457910000,San Jose Earthquakes,Portland Timbers,2,1,,,,0
1458342000,New York City,Orlando City,0,1,,,,0
1458421200,Chicago Fire,Columbus Crew,0,0,,,,0
1458428400,New York Red Bulls,Houston Dynamo,4,3,,,,0
1458435600,FC Dallas,CF Montreal,2,0,,,,0
1458439200,Seattle Sounders,Vancouver Whitecaps,1,2,,,,0
1458441000,Portland Timbers,Real Salt Lake,2,2,,,,0
1458441000,Los Angeles Galaxy,San Jose Earthquakes,3,1,,,,0
1458498600,Philadelphia Union,New England Revolution,3,0,,,,0
1458507600,DC United,Colorado Rapids,1,1,,,,0
1458514800,Sporting Kansas City,Toronto FC,1,0,,,,0
1459018800,New York City,New England Revolution,1,1,,,,0
1459027800,DC United,FC Dallas,0,3,,,,0
1459044000,Vancouver Whitecaps,Houston Dynamo,1,0,,,,0
1459551600,New England Revolution,New York Red Bulls,1,0,,,,0
1459630800,Chicago Fire,Philadelphia Union,1,0,,,,0
1459641600,Colorado Rapids,Toronto FC,1,0,,,,0
1459643400,Sporting Kansas City,Real Salt Lake,1,2,,,,0
1459645200,FC Dallas,Columbus Crew,1,1,,,,0
1459648800,Vancouver Whitecaps,Los Angeles Galaxy,0,0,,,,0
1459648800,Seattle Sounders,CF Montreal,1,0,,,,0
1459650600,San Jose Earthquakes,DC United,1,1,,,,0
1459728000,Orlando City,Portland Timbers,4,1,,,,0
1460156400,Philadelphia Union,Orlando City,2,1,,,,0
1460232000,New England Revolution,Toronto FC,1,1,,,,0
1460232000,CF Montreal,Columbus Crew,2,0,,,,0
1460237400,DC United,Vancouver Whitecaps,4,0,,,,0
1460242800,New York Red Bulls,Sporting Kansas City,0,2,,,,0
1460250000,FC Dallas,San Jose Earthquakes,2,2,,,,0
1460251800,Real Salt Lake,Colorado Rapids,1,0,,,,0
1460318400,Houston Dynamo,Seattle Sounders,1,1,,,,0
1460329200,New York City,Chicago Fire,0,0,,,,0
1460338200,Los Angeles Galaxy,Portland Timbers,1,1,,,,0
1460593800,Sporting Kansas City,Colorado Rapids,1,2,,,,0
1460601000,San Jose Earthquakes,New York Red Bulls,2,0,,,,0
1460601000,Portland Timbers,FC Dallas,1,3,,,,0
1460761200,Houston Dynamo,Los Angeles Galaxy,1,4,,,,0
1460840400,DC United,Toronto FC,0,1,,,,0
1460840400,Chicago Fire,CF Montreal,1,2,,,,0
1460849400,Columbus Crew,New York City,3,2,,,,0
1460854800,Colorado Rapids,New York Red Bulls,2,1,,,,0
1460858400,Seattle Sounders,Philadelphia Union,2,1,,,,0
1460858400,Real Salt Lake,Vancouver Whitecaps,1,0,,,,0
1460860200,Portland Timbers,San Jose Earthquakes,3,1,,,,0
1460921400,Orlando City,New England Revolution,2,2,,,,0
1460934000,FC Dallas,Sporting Kansas City,2,1,,,,0
1461441600,Philadelphia Union,New York City,2,0,,,,0
1461441600,CF Montreal,Toronto FC,0,2,,,,0
1461447000,DC United,New England Revolution,3,0,,,,0
1461454200,Columbus Crew,Houston Dynamo,1,0,,,,0
1461459600,Colorado Rapids,Seattle Sounders,3,1,,,,0
1461465000,Vancouver Whitecaps,FC Dallas,3,0,,,,0
1461465000,Los Angeles Galaxy,Real Salt Lake,5,2,,,,0
1461526200,San Jose Earthquakes,Sporting Kansas City,1,0,,,,0
1461540600,New York Red Bulls,Orlando City,3,2,,,,0
1461798000,New York City,CF Montreal,1,1,,,,0
1461799800,New England Revolution,Portland Timbers,1,1,,,,0
1461810600,Vancouver Whitecaps,Sporting Kansas City,1,1,,,,0
1461970800,New York Red Bulls,FC Dallas,4,0,,,,0
1462046400,Seattle Sounders,Columbus Crew,1,0,,,,0
1462046400,Philadelphia Union,San Jose Earthquakes,1,1,,,,0
1462046400,New York City,Vancouver Whitecaps,3,2,,,,0
1462046400,CF Montreal,Colorado Rapids,2,2,,,,0
1462050000,Chicago Fire,DC United,1,1,,,,0
1462059000,New England Revolution,Orlando City,2,2,,,,0
1462066200,Real Salt Lake,Houston Dynamo,2,1,,,,0
