date,home_team,away_team,home_score,away_score
13.12. 02:30,Columbus Crew,Seattle Sounders,3,0
08.12. 03:30,Seattle Sounders,Minnesota United,3,2
06.12. 21:00,Columbus Crew,New England Revolution,1,0
04.12. 02:30,Sporting Kansas City,Minnesota United,0,3
02.12. 03:30,Seattle Sounders,FC Dallas,1,0
30.11. 02:00AET,Columbus Crew,Nashville SC,2,0
29.11. 21:00,Orlando City,New England Revolution,1,3
25.11. 04:30,Seattle Sounders,Los Angeles FC,3,1
25.11. 02:00,Philadelphia Union,New England Revolution,0,2
25.11. 00:00AET,Toronto FC,Nashville SC,0,1
23.11. 04:00Pen,Portland Timbers,FC Dallas,1,2
23.11. 01:30,Minnesota United,Colorado Rapids,3,0
22.11. 22:00Pen,Sporting Kansas City,San Jose Earthquakes,4,3
21.11. 21:00,Columbus Crew,New York Red Bulls,3,2
21.11. 18:00Pen,Orlando City,New York City,2,1
21.11. 03:00,Nashville SC,Inter Miami,3,0
21.11. 00:30,New England Revolution,CF Montreal,2,1
09.11. 00:30,Houston Dynamo,Colorado Rapids,1,2
09.11. 00:30,Los Angeles FC,Portland Timbers,1,1
09.11. 00:30,Minnesota United,FC Dallas,3,0
09.11. 00:30,Real Salt Lake,Sporting Kansas City,0,2
09.11. 00:30,Seattle Sounders,San Jose Earthquakes,4,1
09.11. 00:30,Vancouver Whitecaps,Los Angeles Galaxy,3,0
08.11. 21:30,Chicago Fire,New York City,3,4
08.11. 21:30,Columbus Crew,Atlanta Utd,2,1
08.11. 21:30,DC United,CF Montreal,2,3
08.11. 21:30,Inter Miami,FC Cincinnati,2,1
08.11. 21:30,New York Red Bulls,Toronto FC,2,1
08.11. 21:30,Orlando City,Nashville SC,2,3
08.11. 21:30,Philadelphia Union,New England Revolution,2,0
05.11. 05:00,Los Angeles Galaxy,Seattle Sounders,1,1
05.11. 05:00,San Jose Earthquakes,Los Angeles FC,3,2
05.11. 04:00,Portland Timbers,Colorado Rapids,0,1
05.11. 02:30,Nashville SC,FC Dallas,0,1
05.11. 02:00,Minnesota United,Chicago Fire,2,2
05.11. 01:30,Orlando City,Columbus Crew,2,1
02.11. 04:30,Los Angeles Galaxy,Real Salt Lake,2,1
02.11. 04:00,Portland Timbers,Vancouver Whitecaps,1,0
02.11. 03:00,Colorado Rapids,Seattle Sounders,3,1
02.11. 01:30,CF Montreal,Orlando City,0,1
02.11. 01:30,New England Revolution,DC United,4,3
02.11. 01:30,Toronto FC,Inter Miami,2,1
02.11. 01:00,Atlanta Utd,FC Cincinnati,2,0
02.11. 01:00,New York City,New York Red Bulls,5,2
01.11. 21:30,Columbus Crew,Philadelphia Union,2,1
01.11. 01:30,Nashville SC,Chicago Fire,1,1
31.10. 20:30,FC Dallas,Houston Dynamo,3,0
29.10. 03:30,Los Angeles FC,Houston Dynamo,2,1
29.10. 03:30,San Jose Earthquakes,Real Salt Lake,2,0
29.10. 03:00,Portland Timbers,Los Angeles Galaxy,5,2
29.10. 01:30,FC Dallas,Inter Miami,2,1
