date,home_team,away_team,home_score,away_score
14.09. 04:00,FC Dallas,New England Revolution,4,2
11.08. 04:00AET,Los Angeles Galaxy,FC Dallas,1,2
10.08. 02:00,New England Revolution,Chicago Fire,3,1
21.07. 04:30,Los Angeles Galaxy,Seattle Sounders,4,2
21.07. 02:30,Chicago Fire,Fort Lauderdale Strikers,3,0
21.07. 02:30,Houston Dynamo,FC Dallas,0,1
21.07. 01:30Pen,New England Revolution,Philadelphia Union,2,1
30.06. 04:30,Portland Timbers,Los Angeles Galaxy,0,1
30.06. 02:30AET,FC Dallas,Colorado Rapids,2,1
30.06. 01:30,New York Cosmos,New England Revolution,2,3
30.06. 01:30AET,Orlando City,Fort Lauderdale Strikers,1,2
30.06. 01:00,Houston Dynamo,Sporting Kansas City,3,1
30.06. 01:00,Philadelphia Union,New York Red Bulls,2,1
29.06. 04:00Pen,Real Salt Lake,Seattle Sounders,1,2
29.06. 02:30,Chicago Fire,Columbus Crew,2,1
16.06. 04:30,Seattle Sounders,Kitsap Pumas,2,0
16.06. 02:30Pen,Chicago Fire,Indy Eleven,2,1
16.06. 02:30Pen,FC Dallas,Oklahoma City Energy,3,2
16.06. 02:30,Houston Dynamo,San Antonio,4,0
16.06. 02:00AET,Minnesota United,Sporting Kansas City,1,2
16.06. 01:30Pen,DC United,Fort Lauderdale Strikers,0,1
16.06. 01:30,New York City,New York Cosmos,0,1
16.06. 01:30AET,North Carolina,New England Revolution,0,1
16.06. 01:05,Rochester New York,New York Red Bulls,0,1
16.06. 01:00,Columbus Crew,Tampa Bay,4,0
16.06. 01:00,Jacksonville A.,Orlando City,0,1
16.06. 01:00,Philadelphia Union,Penn,3,2
15.06. 04:30AET,Los Angeles Galaxy,La Maquina FC,4,1
15.06. 04:30,Portland Timbers,San Jose Earthquakes,2,0
15.06. 04:00Pen,Real Salt Lake,Wilmington Hammerheads,3,2
15.06. 03:00,Colorado Rapids,Colorado Springs,1,0
02.06. 05:00,Sacramento Republic,Kitsap Pumas,1,3
02.06. 04:30,Arizona United,Colorado Springs,0,3
02.06. 04:00,La Maquina FC,L.A. Wolves,2,0
02.06. 03:00,Menace,San Antonio,1,2
02.06. 03:00AET,Rayo,Oklahoma City Energy,1,2
02.06. 02:00,Miami FC,Wilmington Hammerheads,1,2
02.06. 02:00,Saint Louis FC,Minnesota United,0,2
02.06. 01:30,Chattanooga,Penn,1,2
02.06. 01:30,Indy Eleven,Louisville City,2,1
02.06. 01:30,New York Cosmos,Jersey Express,2,0
02.06. 01:30AET,North Carolina,Charlotte Independ.,5,0
02.06. 01:30,Tampa Bay,FC Cincinnati,1,0
02.06. 01:00AET,Jacksonville A.,Charleston,2,1
02.06. 01:00,Rochester New York,Lansdowne,2,0
01.06. 17:00Pen,Fort Lauderdale Strikers,Richmond Kickers,2,1
20.05. 01:30,New York Pancyprian,Jersey Express,0,1
19.05. 05:00Pen,L.A. Wolves,Orange County SC,2,1
19.05. 04:30,Kitsap Pumas,Seattle U23,1,0
19.05. 04:30,Sacramento Republic,Aguiluchos,5,0
19.05. 04:30,Tucson,Arizona United,0,5
19.05. 04:00,La Maquina FC,Sacramento Gold,2,0
19.05. 03:00,Colorado Springs,Harpo's,1,0
19.05. 02:30,Menace,FC Tulsa,2,0
19.05. 02:30,San Antonio,Corinthians SA,3,1
19.05. 02:00Pen,Mississippi Brilla,Oklahoma City Energy,0,1
19.05. 02:00,Saint Louis FC,AFC Cleveland,2,0
19.05. 01:30Awrd,Charleston,Brave SC,-,-
19.05. 01:30Pen,Chattanooga,Reading,1,0
19.05. 01:30,West Chester Utd,Penn,0,2
19.05. 01:00,Charlotte Eagles,Charlotte Independ.,0,2
19.05. 01:00,FC Cincinnati,Indy Eleven NPSL,2,1
19.05. 01:00Pen,Louisville City,Detroit,2,1
19.05. 01:00,Pittsburgh,Lansdowne,0,2
19.05. 01:00,Richmond Kickers,Aromas,4,0
19.05. 01:00,Rochester New York,Southie,7,0
19.05. 01:00,Wilmington Hammerheads,Miami,6,0
12.05. 04:30,Portland U23,La Maquina FC,0,2
12.05. 04:30AET,Seattle U23,Outbreak,3,1
12.05. 04:30,Tucson,San Nicolas,3,0
12.05. 04:00,Sacramento Gold,Burlingame,3,1
12.05. 04:00,San Francisco City,Aguiluchos,0,3
12.05. 04:00Awrd,Ventura,L.A. Wolves,-,-
12.05. 02:30,Albuquerque Sol,Harpo's,0,2
12.05. 02:05,Wichita,Menace,1,2
12.05. 02:00,Mississippi Brilla,Motagua New Orleans,2,0
12.05. 02:00,Portland Phoenix,AFC Cleveland,0,1
12.05. 02:00,Southie,Seacoast Utd Phantoms,2,0
12.05. 01:30AET,Long Island,Lansdowne,1,2
12.05. 01:30Pen,Michigan Bucks,Detroit,0,1
12.05. 01:30,New York Pancyprian,New York Red Bulls U23,2,1
12.05. 01:00AET,Charlotte Eagles,Myrtle Beach,3,2
12.05. 01:00,Clarkstown,Jersey Express,1,2
12.05. 01:00,Indy Eleven NPSL,Cincinnati Dutch Lions,1,0
12.05. 01:00AET,Miami,Boca Raton,4,1
12.05. 01:00,Reading,Atlanta SC,2,0
11.05. 23:30Pen,Fredericksburg,West Chester Utd,1,2
11.05. 23:00,Brave SC,Kraze United,1,0
11.05. 23:00AET,Chesterfield,Aromas,1,2
