timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1523790000,Zaamin,Kokand 1912,2,2,AET,2,3,0
1523790000,Sherdor,Xorazm Urganch,3,2,,,,0
1523790000,Lokomotiv BFK,Termez Surkhon,0,4,,,,0
1523790000,Khotira 79,Din. Samarkand,0,0,AET,0,1,0
1523797200,Sogdiana,Metallurg Bekabad,1,0,,,,0
1523797200,OKMK,Naryn Khakkulabad,1,0,,,,0
1523797200,Mashal Muborak,Istiqlol Tashkent,1,0,,,,0
1523804400,Andijan,Navbahor Namangan,1,0,,,,0
1523876400,Orol Nukus,Gijduvon,5,1,,,,0
1523876400,Iftixor,Yozavon L.,1,0,,,,0
1523883600,Shortan Guzor,Neftchi Fargona,0,2,,,,0
1523887200,Qizilqum,Buxoro,2,2,AET,3,2,0
1527516060,Iftixor,Pakhtakor,0,6,,,,0
1527595200,Orol Nukus,Andijan,0,2,,,,0
1527602520,Bunyodkor,Sogdiana,1,0,,,,0
1527603720,Mashal Muborak,Termez Surkhon,1,1,Pen,2,1,0
1527681600,Din. Samarkand,Qizilqum,0,3,,,,0
1527688620,Kokand 1912,Neftchi Fargona,1,1,AET,2,1,0
1527688980,OKMK,Nasaf Qarshi,2,1,,,,0
1527688980,Lok. Tashkent,Sherdor,7,0,,,,0
1537275600,Kokand 1912,Qizilqum,2,0,,,,0
1537282800,Pakhtakor,Lok. Tashkent,4,0,,,,0
1537362000,Andijan,Bunyodkor,1,2,,,,0
1537369200,OKMK,Mashal Muborak,1,1,AET,3,1,0
1538055000,Kokand 1912,Pakhtakor,2,5,,,,0
1538141400,Bunyodkor,OKMK,1,2,,,,0
1540720800,Pakhtakor,OKMK,1,3,,,,0
