timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1629208800,Termez Surkhon,Mashal Muborak,IFjYtoL1,fVAPlTiH,1,0,,,,0
1629295200,Shortan Guzor,Qizilqum,ze9vZcQ5,CxnGCe84,1,2,,,,0
1629295200,Din. Samarkand,Olympic,OKaAFlaK,Wx1LJSze,1,1,Pen,2,3,0
1629381600,Pakhtakor,Turon,6qXe6T4n,vsDUyMUm,1,0,,,,0
1629381600,OKMK,Neftchi Fargona,EPflwKJK,tKbQtiAt,6,1,,,,0
1629381600,Nasaf Qarshi,Metallurg Bekabad,MwERIUFm,x4JlpwW4,5,2,,,,0
1629468000,Sogdiana,Lok. Tashkent,8fjo62dk,vcV4K3Ct,2,1,,,,0
1629468000,Bunyodkor,Navbahor Namangan,bgIYokVk,6wCD7ZKQ,1,0,,,,0
1634725800,Olympic,Pakhtakor,Wx1LJSze,6qXe6T4n,0,1,,,,0
1635426900,OKMK,Qizilqum,EPflwKJK,CxnGCe84,3,2,,,,0
1635426900,Bunyodkor,Termez Surkhon,bgIYokVk,IFjYtoL1,2,1,,,,0
1635513300,Sogdiana,Nasaf Qarshi,8fjo62dk,MwERIUFm,0,1,,,,0
1637746200,OKMK,Nasaf Qarshi,EPflwKJK,MwERIUFm,0,0,AET,0,2,0
1637757000,Pakhtakor,Bunyodkor,6qXe6T4n,bgIYokVk,1,1,Pen,2,1,0
1638615600,Pakhtakor,Nasaf Qarshi,6qXe6T4n,MwERIUFm,1,2,,,,0
