timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1495567800,Gran Valencia,Estudiantes Caracas,2,4,,,,0
1495645200,Miranda,Universidad Central,2,1,,,,0
1495652400,Pacairigua,Tucanes,1,0,,,,0
1495652400,Nueva Esparta,Margarita,1,2,,,,0
1495652400,Internacional Turen,Atletico Guanare,1,4,,,,0
1495652400,Hermandad Gallega,Petroleros de Anzoategui,4,5,,,,0
1495652400,FD Talentos del Sur,Llaneros,0,0,,,,0
1495652400,AC Lala FC,Chico de Guayana,2,1,,,,0
1495654200,Minasoro FV,Angostura,3,0,,,,0
1495654200,Independiente La Fria,Titanes,2,1,,,,0
1495654200,Falcon,Puerto Cabello,4,0,,,,0
1495654200,El Vigia,Los Andes,3,3,,,,0
1495656000,Yaracuy,Yaracuyanos,0,2,,,,0
1495666800,Urena,Frontera,2,0,,,,0
1495911600,Estudiantes Caracas,Gran Valencia,1,2,,,,0
1495913400,Puerto Cabello,Falcon,0,1,,,,0
1495913400,Los Andes,El Vigia,2,0,,,,0
1495915200,Frontera,Urena,2,1,,,,0
1495998000,Tucanes,Pacairigua,3,2,,,,0
1495998000,Titanes,Independiente La Fria,2,0,,,,0
1495998000,Chico de Guayana,AC Lala FC,1,2,,,,0
1495999800,Yaracuyanos,Yaracuy,2,1,,,,0
1495999800,Petroleros de Anzoategui,Hermandad Gallega,4,1,,,,0
1495999800,Margarita,Nueva Esparta,1,2,Pen,2,2,0
1495999800,Llaneros,FD Talentos del Sur,5,3,,,,0
1496001600,Universidad Central,Miranda,1,2,,,,0
1496008800,Angostura,Minasoro FV,2,2,,,,0
1496098800,Atletico Guanare,Internacional Turen,4,4,,,,0
1502222400,Titanes,Zulia,0,1,,,,0
1502298000,Estudiantes Caracas,Metropolitanos,0,0,,,,0
1502305200,Petroleros de Anzoategui,Caracas,2,2,,,,0
1502305200,Los Andes,Estudiantes Merida,1,2,,,,0
1502305200,JBL Zulia,Trujillanos,0,0,,,,0
1502305200,Atl. Socopo,Zamora,1,1,,,,0
1502305200,AC Lala FC,Monagas,0,1,,,,0
1502307000,Yaracuyanos,Aragua,0,2,,,,0
1502307000,Margarita,Dep. Anzoategui,2,0,,,,0
1502307000,Falcon,Carabobo,0,0,,,,0
1502308800,Minasoro FV,Mineros,2,5,,,,0
1502319600,Urena,Dep. Tachira,1,0,,,,0
1502319600,Miranda,La Guaira,0,1,,,,0
1502319600,Llaneros,Portuguesa,1,1,,,,0
1502384400,Pacairigua,Atl. Venezuela,0,2,,,,0
1502391600,Atletico Guanare,Lara,1,2,,,,0
1503435600,La Guaira,Miranda,3,1,,,,0
1503496800,Atl. Venezuela,Pacairigua,2,0,,,,0
1503516600,Dep. Anzoategui,Margarita,1,1,,,,0
1503518400,Zulia,Titanes,3,2,,,,0
1503518400,Lara,Atletico Guanare,5,0,,,,0
1503522000,Trujillanos,JBL Zulia,1,0,,,,0
1503522000,Mineros,Minasoro FV,5,0,,,,0
1503522000,Aragua,Yaracuyanos,2,1,,,,0
1503529200,Monagas,AC Lala FC,4,0,,,,0
1503529200,Metropolitanos,Estudiantes Caracas,0,2,,,,0
1503529200,Estudiantes Merida,Los Andes,0,1,,,,0
1503529200,Dep. Tachira,Urena,2,1,,,,0
1503529200,Caracas,Petroleros de Anzoategui,1,1,,,,0
1503529200,Carabobo,Falcon,3,0,,,,0
1503531000,Zamora,Atl. Socopo,1,0,,,,0
1504121400,Portuguesa,Llaneros,2,2,,,,0
1504726200,Margarita,Monagas,0,0,,,,0
1504728000,Zulia,Trujillanos,2,1,,,,0
1504738800,Mineros,Caracas,1,2,,,,0
1504738800,Llaneros,Zamora,1,3,,,,0
1504738800,La Guaira,Aragua,1,0,,,,0
1504738800,Estudiantes Merida,Urena,1,1,,,,0
1504738800,Carabobo,Lara,1,0,,,,0
1504738800,Atl. Venezuela,Estudiantes Caracas,2,2,,,,0
1505332800,Lara,Carabobo,1,0,Pen,1,1,0
1505336400,Trujillanos,Zulia,0,2,,,,0
1505336400,Aragua,La Guaira,1,0,Pen,2,0,0
1505343600,Urena,Estudiantes Merida,3,1,,,,0
1505343600,Monagas,Margarita,2,3,,,,0
1505343600,Estudiantes Caracas,Atl. Venezuela,0,0,,,,0
1505343600,Caracas,Mineros,2,3,,,,0
1505345400,Zamora,Llaneros,2,1,,,,0
1506542400,Zulia,Urena,1,1,,,,0
1506546000,Aragua,Estudiantes Caracas,2,2,,,,0
1506553200,Mineros,Margarita,4,1,,,,0
1506553200,Carabobo,Zamora,1,2,,,,0
1507750200,Margarita,Mineros,0,1,,,,0
1507752000,Urena,Zulia,2,0,,,,0
1507762800,Estudiantes Caracas,Aragua,1,1,,,,0
1507764600,Zamora,Carabobo,2,1,,,,0
1508961600,Urena,Zamora,1,1,,,,0
1508972400,Mineros,Estudiantes Caracas,2,0,,,,0
1509577200,Estudiantes Caracas,Mineros,0,2,,,,0
1509579000,Zamora,Urena,1,0,,,,0
1510182000,Zamora,Mineros,1,1,,,,0
1511996400,Mineros,Zamora,4,3,,,,0
