timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1706904000,Caracas,La Guaira,0nhENufQ,hCFsixCJ,2,0,,,,0
1706914800,Puerto Cabello,Carabobo,bkCHmVIM,CtnfXRKE,2,2,,,,0
1706986800,Rayo Zuliano,Portuguesa,W6G6DmEi,6LjVpO9s,3,1,,,,0
1706996700,Monagas,Metropolitanos,2gmAxwcQ,tAwcOibj,2,4,,,,0
1707006600,Inter de Barinas,Zamora,h8DUBAnO,0A6WRcTt,1,0,,,,0
1707076800,Dep. Tachira,Estudiantes Merida,OxmaT1W4,Kt2RJAvf,5,1,,,,0
1707087600,Angostura,Universidad Central,2DgfzFb3,IVEtsHRQ,0,0,,,,0
1707505200,Portuguesa,Puerto Cabello,6LjVpO9s,bkCHmVIM,0,1,,,,0
1707591600,Zamora,Dep. Tachira,0A6WRcTt,OxmaT1W4,0,0,,,,0
1707601500,Carabobo,Inter de Barinas,CtnfXRKE,h8DUBAnO,1,0,,,,0
1707616800,La Guaira,Monagas,hCFsixCJ,2gmAxwcQ,2,1,,,,0
1707678000,Rayo Zuliano,Caracas,W6G6DmEi,0nhENufQ,0,1,,,,0
1707768000,Universidad Central,Metropolitanos,IVEtsHRQ,tAwcOibj,3,0,,,,0
1707778800,Estudiantes Merida,Angostura,Kt2RJAvf,2DgfzFb3,0,1,,,,0
1708124400,Caracas,Portuguesa,0nhENufQ,6LjVpO9s,0,1,,,,0
1708196400,Metropolitanos,Zamora,tAwcOibj,0A6WRcTt,3,1,,,,0
1708206300,Puerto Cabello,Estudiantes Merida,bkCHmVIM,Kt2RJAvf,2,1,,,,0
1708206300,Angostura,La Guaira,2DgfzFb3,hCFsixCJ,1,1,,,,0
1708216200,Dep. Tachira,Rayo Zuliano,OxmaT1W4,W6G6DmEi,2,1,,,,0
1708282800,Inter de Barinas,Universidad Central,h8DUBAnO,IVEtsHRQ,0,1,,,,0
1708292700,Monagas,Carabobo,2gmAxwcQ,CtnfXRKE,0,0,,,,0
1708718400,Portuguesa,Dep. Tachira,6LjVpO9s,OxmaT1W4,1,1,,,,0
1708729200,Universidad Central,Monagas,IVEtsHRQ,2gmAxwcQ,1,1,,,,0
1708801200,La Guaira,Puerto Cabello,hCFsixCJ,bkCHmVIM,0,0,,,,0
1708811100,Estudiantes Merida,Caracas,Kt2RJAvf,0nhENufQ,1,1,,,,0
1708821000,Zamora,Rayo Zuliano,0A6WRcTt,W6G6DmEi,1,1,,,,0
1708891200,Carabobo,Angostura,CtnfXRKE,2DgfzFb3,2,1,,,,0
