timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1619172000,Gia Lai,An Do-An Giang,Q1sXdNBU,phPXNZlA,2,1,,,,0
1619172000,Da Nang,Ba Ria Vung Tau,EiT1Wpdd,6LA0qhxd,1,0,,,,0
1619172000,Can Tho,Binh Duong,OrOyNg4G,zX43sNzb,1,1,Pen,2,1,0
1619175600,PVF-CAND,Song Lam Nghe An,QVl4SuN4,EiT1Wpdd,1,0,,,,0
1619175600,Hong Linh Ha Tinh,Cong An Ha Noi,thEj2sdN,KnmSRxvE,4,2,,,,0
1619253000,Dak Lak,Thanh Hoa,4xEHelxl,fw9MeDYe,3,0,,,,0
1619258400,Quang Nam,Sai Gon FC,KIg2K6gS,OSBxo5A0,3,2,,,,0
1619258400,Binh Dinh,Long An,thEj2sdN,jeFu6Qy4,1,2,,,,0
1619262000,Hai Phong,Binh Phuoc,dr1Rx2yJ,W4eJW2n0,0,0,Pen,1,0,0
1619341200,Phu Dong Ninh Binh,Hue,hbdjuDhT,Kz5IDlTA,1,0,,,,0
1619344800,Khanh Hoa,Phu Tho,2ZMuMDJM,vcLqLXYS,2,0,,,,0
