timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1281725100,TNS,Prestatyn,5,2,,,,0
1281790800,Haverfordwest,Newtown,0,1,,,,0
1281790800,Bangor City,Neath Athletic,2,1,,,,0
1281797100,Carmarthen Town,Aberystwyth,2,3,,,,0
1281877200,Airbus,Llanelli,1,2,,,,0
1281879000,Port Talbot,Bala,2,0,,,,0
1282329000,Llanelli,Port Talbot,0,3,,,,0
1282329000,Aberystwyth,Newtown,2,2,,,,0
1282395600,Prestatyn,Haverfordwest,1,0,,,,0
1282395600,Carmarthen Town,Airbus,1,4,,,,0
1282401900,Bala,Bangor City,2,3,,,,0
1282933800,Port Talbot,Carmarthen Town,1,2,,,,0
1282933800,Haverfordwest,Neath Athletic,0,3,,,,0
1283000400,Newtown,Prestatyn,1,0,,,,0
1283000400,Bangor City,Llanelli,2,0,,,,0
1283000400,Airbus,Aberystwyth,3,1,,,,0
1283088600,TNS,Bala,2,1,,,,0
1283605200,Carmarthen Town,Bangor City,0,1,,,,0
1283605200,Airbus,Port Talbot,2,0,,,,0
1283605200,Aberystwyth,Prestatyn,1,0,,,,0
1283611500,Llanelli,TNS,2,1,,,,0
1283693400,Neath Athletic,Newtown,5,0,,,,0
1283693400,Bala,Haverfordwest,0,1,,,,0
1284143400,Port Talbot,Aberystwyth,1,1,,,,0
1284143400,Bangor City,Airbus,5,1,,,,0
1284210000,TNS,Carmarthen Town,7,0,,,,0
1284210000,Newtown,Bala,1,1,,,,0
1284216300,Prestatyn,Neath Athletic,1,1,,,,0
1284748200,Carmarthen Town,Haverfordwest,2,2,,,,0
1284748200,Bala,Prestatyn,2,1,,,,0
1284748200,Airbus,TNS,2,2,,,,0
1284814800,Aberystwyth,Neath Athletic,1,1,,,,0
1284821100,Port Talbot,Bangor City,1,2,,,,0
1284901200,Llanelli,Newtown,2,1,,,,0
1285421400,TNS,Port Talbot,6,1,,,,0
1285421400,Prestatyn,Llanelli,1,1,,,,0
1285421400,Newtown,Carmarthen Town,0,1,,,,0
1285425900,Haverfordwest,Airbus,4,0,,,,0
1285507800,Neath Athletic,Bala,3,1,,,,0
1285507800,Bangor City,Aberystwyth,2,1,,,,0
1285698600,Haverfordwest,Llanelli,0,4,,,,0
1285957800,Port Talbot,Haverfordwest,3,0,,,,0
1285957800,Llanelli,Neath Athletic,1,4,,,,0
1286026200,Carmarthen Town,Prestatyn,2,1,,,,0
1286026200,Aberystwyth,Bala,2,1,,,,0
1286030700,Bangor City,TNS,4,3,,,,0
1286631000,Newtown,Port Talbot,0,0,,,,0
1286631000,Haverfordwest,Bangor City,1,2,,,,0
1286635500,Bala,Llanelli,1,0,,,,0
1286717400,TNS,Aberystwyth,5,0,,,,0
1286717400,Prestatyn,Airbus,1,1,,,,0
1286717400,Neath Athletic,Carmarthen Town,2,1,,,,0
1287167400,Llanelli,Aberystwyth,2,3,,,,0
1287235800,Carmarthen Town,Bala,4,1,,,,0
1287235800,Bangor City,Newtown,5,2,,,,0
1287240300,TNS,Haverfordwest,6,1,,,,0
1287320400,Airbus,Neath Athletic,2,2,,,,0
1287322200,Port Talbot,Prestatyn,0,3,,,,0
1287599400,Airbus,Newtown,1,1,,,,0
1287772200,Prestatyn,TNS,0,0,,,,0
1287772200,Aberystwyth,Carmarthen Town,2,2,,,,0
1287840600,Newtown,Haverfordwest,1,1,,,,0
1287845100,Neath Athletic,Bangor City,1,2,,,,0
1287925200,Llanelli,Airbus,1,1,,,,0
1287927000,Bala,Port Talbot,0,0,,,,0
1288377000,Bangor City,Bala,3,0,,,,0
1288445400,Haverfordwest,Prestatyn,2,3,,,,0
1288445400,Airbus,Carmarthen Town,2,4,,,,0
1288449900,Port Talbot,Llanelli,1,1,,,,0
1288533600,Newtown,Aberystwyth,0,0,,,,0
1288535400,TNS,Neath Athletic,3,1,,,,0
1289590200,Prestatyn,Newtown,2,1,,,,0
1289590200,Neath Athletic,Haverfordwest,4,0,,,,0
1289590200,Carmarthen Town,Port Talbot,1,3,,,,0
1289590200,Bala,TNS,3,4,,,,0
1290263400,Prestatyn,Aberystwyth,4,0,,,,0
1290263400,Port Talbot,Airbus,2,0,,,,0
1290263400,Haverfordwest,Bala,0,1,,,,0
1290263400,Bangor City,Carmarthen Town,5,0,,,,0
1290267900,Newtown,Neath Athletic,3,6,,,,0
1290627000,Neath Athletic,TNS,1,1,,,,0
1290799800,Aberystwyth,Port Talbot,2,2,,,,0
1291474800,Bangor City,Port Talbot,8,1,,,,0
1291477500,TNS,Airbus,2,0,,,,0
1292077800,Port Talbot,TNS,0,2,,,,0
1292077800,Carmarthen Town,Newtown,1,1,,,,0
1292077800,Airbus,Haverfordwest,4,0,,,,0
1292082300,Aberystwyth,Bangor City,1,3,,,,0
1292164200,Bala,Neath Athletic,0,2,,,,0
1292355000,Airbus,Bangor City,1,1,,,,0
1293651000,Haverfordwest,Carmarthen Town,3,2,,,,0
1293651000,Bangor City,Prestatyn,2,1,,,,0
1293892200,TNS,Newtown,4,0,,,,0
