timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1313174700,TNS,Bala,zcb1Gz6r,ba7lmHtG,1,1,,,,0
1313242200,Carmarthen Town,Newtown,SY7hNqon,htyBkxBk,0,1,,,,0
1313242200,Airbus,Port Talbot,SY7hNqon,U90X9ich,1,1,,,,0
1313242200,Afan Lido,Prestatyn,lr9lOPVu,6P6dM30h,0,1,,,,0
1313246700,Bangor City,Llanelli,UNZg5BP0,zcb1Gz6r,3,2,,,,0
1313328600,Neath Athletic,Aberystwyth,6NgKquYM,UNZg5BP0,4,2,,,,0
1313778600,Prestatyn,Airbus,6P6dM30h,SY7hNqon,2,2,,,,0
1313778600,Port Talbot,TNS,U90X9ich,zcb1Gz6r,2,1,,,,0
1313778600,Llanelli,Afan Lido,zcb1Gz6r,lr9lOPVu,4,1,,,,0
1313778600,Aberystwyth,Newtown,UNZg5BP0,htyBkxBk,4,1,,,,0
1313856000,Bala,Carmarthen Town,ba7lmHtG,SY7hNqon,2,0,,,,0
1313933400,Neath Athletic,Bangor City,6NgKquYM,UNZg5BP0,2,0,,,,0
1314383400,Carmarthen Town,Port Talbot,SY7hNqon,U90X9ich,2,0,,,,0
1314383400,Afan Lido,Neath Athletic,lr9lOPVu,6NgKquYM,1,0,,,,0
1314384300,TNS,Prestatyn,zcb1Gz6r,6P6dM30h,2,1,,,,0
1314451800,Newtown,Bala,htyBkxBk,ba7lmHtG,0,2,,,,0
1314456300,Bangor City,Aberystwyth,UNZg5BP0,UNZg5BP0,1,1,,,,0
1314538200,Airbus,Llanelli,SY7hNqon,zcb1Gz6r,1,1,,,,0
1315056600,Prestatyn,Carmarthen Town,6P6dM30h,SY7hNqon,6,1,,,,0
1315056600,Port Talbot,Newtown,U90X9ich,htyBkxBk,3,1,,,,0
1315056600,Bangor City,Afan Lido,UNZg5BP0,lr9lOPVu,4,1,,,,0
1315056600,Aberystwyth,Bala,UNZg5BP0,ba7lmHtG,0,4,,,,0
1315061100,Llanelli,TNS,zcb1Gz6r,zcb1Gz6r,0,1,,,,0
1315143000,Neath Athletic,Airbus,6NgKquYM,SY7hNqon,3,0,,,,0
1315420200,Newtown,Prestatyn,htyBkxBk,6P6dM30h,1,2,,,,0
1315420200,Carmarthen Town,Llanelli,SY7hNqon,zcb1Gz6r,0,3,,,,0
1315420200,Bala,Port Talbot,ba7lmHtG,U90X9ich,2,0,,,,0
1315420200,Airbus,Bangor City,SY7hNqon,UNZg5BP0,2,4,,,,0
1315421100,TNS,Neath Athletic,zcb1Gz6r,6NgKquYM,3,0,,,,0
1315661400,Prestatyn,Bala,6P6dM30h,ba7lmHtG,0,1,,,,0
1315661400,Llanelli,Newtown,zcb1Gz6r,htyBkxBk,9,2,,,,0
1315661400,Aberystwyth,Port Talbot,UNZg5BP0,U90X9ich,0,2,,,,0
1315665900,Bangor City,TNS,UNZg5BP0,zcb1Gz6r,0,3,,,,0
1315747800,Neath Athletic,Carmarthen Town,6NgKquYM,SY7hNqon,2,0,,,,0
1315747800,Afan Lido,Airbus,lr9lOPVu,SY7hNqon,0,0,,,,0
1316197800,Airbus,Aberystwyth,SY7hNqon,UNZg5BP0,1,1,,,,0
1316266200,TNS,Afan Lido,zcb1Gz6r,lr9lOPVu,3,0,,,,0
1316266200,Carmarthen Town,Bangor City,SY7hNqon,UNZg5BP0,1,2,,,,0
1316270700,Newtown,Neath Athletic,htyBkxBk,6NgKquYM,0,4,,,,0
1316352600,Port Talbot,Prestatyn,U90X9ich,6P6dM30h,0,0,,,,0
1316352600,Bala,Llanelli,ba7lmHtG,zcb1Gz6r,2,4,,,,0
1316802600,Llanelli,Port Talbot,zcb1Gz6r,U90X9ich,2,0,,,,0
1316802600,Bangor City,Newtown,UNZg5BP0,htyBkxBk,4,0,,,,0
1316802600,Afan Lido,Carmarthen Town,lr9lOPVu,SY7hNqon,1,0,,,,0
1316875500,Airbus,TNS,SY7hNqon,zcb1Gz6r,1,2,,,,0
1316957400,Neath Athletic,Bala,6NgKquYM,ba7lmHtG,4,0,,,,0
