timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1475260200,Trethomas Bluebirds,Llanelli,fNdAoIUJ,zcb1Gz6r,0,6,,,,0
1475260200,Guilsfield,Welshpool,OYjNZyL9,nBSEziRC,6,3,,,,0
1475260200,Conwy Borough,Caernarfon,v3UGJWCN,Kd6FFBdj,1,5,,,,0
1475326800,Undy,Blaenrhondda,WhiyOGi9,xGmQGsls,3,0,,,,0
1475326800,Ton Pentre,Abergavenny Town,YNWZWUtJ,r1AKY3Tu,4,2,,,,0
1475326800,Sully,Llantwit Major,46Zp6MOi,M5U3i83E,2,6,,,,0
1475326800,St. Asaph,Prestatyn,buuq6OW8,6P6dM30h,0,8,,,,0
1475326800,Porthmadog,Caersws FC,WtiiFXGs,MN3swPzC,4,0,,,,0
1475326800,Penybont,Porth,0zQ599oQ,EwYv5lh5,3,1,,,,0
1475326800,Newport YMCA,Haverfordwest,,OtJeQ92e,1,2,,,,0
1475326800,Nantlle Vale FC,Holyhead,d6DUboFI,Q3vjQTW2,0,3,,,,0
1475326800,Mold Alexandra,Llanberis,OEhjlese,vq49Ti1U,4,0,,,,0
1475326800,Merthyr S.,Llandrindod,2o3PET7Q,dfska3l0,2,3,,,,0
1475326800,Llanuwchllyn,Ruthin,pK9k08B5,W01sA9SB,0,3,,,,0
1475326800,Llanrhaeadr,Prestatyn Sports,GzEezPo6,WSgLWMcA,5,3,,,,0
1475326800,Llanidloes,Llanfair United,lhpbCQXq,2HuzBNzo,0,2,,,,0
1475326800,Llangefni,Brymbo,MFZ0SgDq,x4uBSDqG,4,0,,,,0
1475326800,Lex XI,Corwen,,W4sIv6OL,1,2,,,,0
1475326800,Hawarden Rangers,Carno,Of4fvBrS,n3hc5Uyr,2,1,,,,0
1475326800,Gresford,Denbigh,OYjNZyL9,AebqGGk4,3,0,,,,0
1475326800,Greenfield,Llandudno Albion,rHGHJGBm,4Wba79CE,3,2,,,,0
1475326800,Glantraeth FC,Mynydd Llandegai,r1IMzgWf,,3,5,,,,0
1475326800,Flint,Penycae,KbixPda2,fkR6bLAS,6,0,,,,0
1475326800,Ebbw,Ynysygerwn,,69WRQvsd,1,2,,,,0
1475326800,Croesyceiliog,Goytre Utd,nXNK2AcB,0OkjTtwH,1,1,Pen,1,2,0
1475326800,Coedpoeth,Holywell,QFWjfkmQ,0C7XZ7Ka,0,8,,,,0
1475326800,Cambrian United,Trefelin,4EDpNSCD,M73FC44i,1,3,,,,0
1475326800,Bridgend Street,Goytre AFC,MqR1AkWJ,CSKTSWBh,1,1,Pen,2,3,0
1475326800,Afan Lido,Pontyclun,lr9lOPVu,2wgdeIyA,4,1,,,,0
1475326800,Abergele Town,Llanrug,,tp6Btojk,0,2,,,,0
1475326800,Aberbargoed,Barry,n7pi4of1,EVgNVqY4,0,5,,,,0
1475326800,Aberaeron,Caldicot,zu7m1og6,jFBdmOb1,1,4,,,,0
1475413200,Monmouth,Brecon,r1AKY3Tu,KMs3UZE3,1,0,,,,0
1475605800,Taffs Well,Port Talbot,2uKaC9kN,U90X9ich,0,0,Pen,1,0,0
1475606700,Rhayader,Caerau Ely,IeCxxZW3,Am6XCEDd,4,3,,,,0
1475607600,Penrhyncoch,FC Nomads,rT2z7SCH,nqAu5cyq,2,0,,,,0
1475931600,Treowen,Risca,YZzteJOB,jwW2wgsf,4,1,,,,0
