timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1532764800,Amora (Por),Vilafranquense (Por),trJDi0i6,dI3JM8Rt,1,2,,,,0
1532766600,Stechovice (Cze),Admira Prague (Cze),6DvWGNgL,bwnYfdyL,1,1,,,,0
1532766600,Merelinense (Por),Gondomar (Por),pIhUpW95,rq5wwFPM,2,0,,,,0
1532766600,Erdi (Hun),Szolnoki MAV (Hun),YcmLDSdt,hEhfZQIn,2,2,,,,0
1532766600,Ebro (Esp),Ejea (Esp),vPkC8ii1,fZfkB0yI,5,1,,,,0
1532766600,CD Mostoles (Esp),Azuqueca (Esp),M9bYMMdi,ruVAAfJg,3,0,,,,0
1532768400,FC Volendam (Ned),Dordrecht (Ned),WYtEUtB2,GSg8EF2E,0,2,,,,0
1532768400,Bromolla (Swe),Hellerup (Den),vs13AJMn,UFaDtLwT,1,1,,,,0
1532770200,Leioa (Esp),SD San Pedro (Esp),bmLdEYnE,GQUsQbcm,2,1,,,,0
1532770200,FC Cesarense (Por),Gil Vicente (Por),IFObWx8i,MsGVFYVb,0,3,,,,0
1532771100,Mirandes (Esp),Alaves B (Esp),drZTz3Fo,QoicBjdc,0,1,,,,0
1532772000,Willem II (Ned),KV Mechelen (Bel),WQMFphXe,zVJMgvaS,0,1,,,,0
1532775600,BK Frem (Den),Herlev (Den),2gi3wAla,OKVFol4p,3,1,,,,0
1532779200,SG Dynamo Dresden (Ger),Aston Villa (Eng),YP5eX03i,jwz95gs0,1,2,,,,0
1532779200,Portsmouth (Eng),Utrecht (Ned),nkTKkN30,4vob7cTR,1,1,,,,0
1532779200,Millwall (Eng),Bochum (Ger),4UX5t7jk,86lnAaq9,1,0,,,,0
1532779200,Hartlepool (Eng),Middlesbrough (Eng),K2FpWLH3,vcNAdtF9,0,5,,,,0
1532779200,Gainsborough (Eng),Grimsby (Eng),2a4JLW9s,YuYdJego,0,4,,,,0
1532779200,Darmstadt (Ger),Roda (Ned),hnEPJbbt,pWP3d9yH,4,1,,,,0
1532781000,NAC Breda (Ned),Excelsior (Ned),voRxy8ml,GOuuvzfL,1,4,,,,1
1532781000,Heracles (Ned),Kasimpasa (Tur),vuxu3x67,Mm1T8IIN,1,1,,,,1
1532782800,Udinese (Ita),Leicester (Eng),SYw7EcY6,UNZg5BP0,2,1,,,,0
1532782800,Southampton (Eng),Dijon (Fra),raLYxovi,6qsP6K6r,2,0,,,,0
1532782800,Limavady (Nir),Ballymena (Nir),pYbCLS4D,S0fpxPRE,1,1,,,,0
1532782800,IJsselmeervogels (Ned),De Graafschap (Ned),6XlsK9Aa,ObzPyqoA,3,2,,,,0
1532782800,Derry City (Nir),Institute (Nir),IL54TYSm,zaBJ6qAa,2,4,,,,0
1532782800,Burton (Eng),Cardiff (Wal),QqdgCtqL,Iytof9Vn,1,5,,,,0
1532782800,Barendrecht (Ned),USV Hercules (Ned),0dirvMka,QgJiWXIH,1,1,,,,0
1532782800,Bangor FC (Nir),Dollingstown (Nir),Ia6rz2Nr,EgfJi8CI,1,1,,,,0
1532784600,St. Pauli (Ger),Stoke (Eng),ncmj9JbF,8nx1AWvN,2,0,,,,0
1532784600,QPR (Eng),Union Berlin (Ger),z9YsXKZd,ncmj9JbF,3,0,,,,0
1532784600,Kerala Blasters (Ind),Girona (Esp),f5R8609I,vPm0hQMN,0,5,,,,0
1532784600,Druids (Wal),Harrogate (Eng),SMBaWRPd,tj3NKjPm,2,1,,,,0
1532784600,Cardiff Metropolitan (Wal),Barry (Wal),byXXfZNp,EVgNVqY4,1,1,,,,0
1532786400,Zwolle (Ned),Levante (Esp),vFbzuVd5,8toS1iya,3,1,,,,0
1532786400,Wrexham (Wal),Forest Green (Eng),OxoAKHbA,pOBjicgq,2,3,,,,0
1532786400,Woking (Eng),Dover (Eng),O644KsV4,OzS4EExU,1,1,,,,0
1532786400,Whyteleafe (Eng),South Park (Eng),f38mXy69,MqJR9u9q,3,1,,,,0
1532786400,West Brom (Eng),Coventry (Eng),ImMEe0UF,UuasdTpt,5,2,,,,0
1532786400,Uxbridge (Eng),Hendon (Eng),2V6jtVbj,6i3MJ7Cj,0,2,,,,0
1532786400,Tranmere (Eng),Rochdale (Eng),bgElVuX9,K2FpWLH3,1,3,,,,0
1532786400,Tamworth (Eng),Buxton (Eng),n5X13kfD,W2ruJF4r,1,1,,,,0
1532786400,Stockport County (Eng),Macclesfield (Eng),jV9EvOUh,U3DlioMH,1,1,,,,0
1532786400,Southport (Eng),Bury (Eng),4Oz4z0sl,r5vM8D7P,3,1,,,,0
1532786400,Solihull Moors (Eng),Kidderminster (Eng),vsLgEvHM,Ai0o9TsI,0,3,,,,0
1532786400,Sheffield Wed (Eng),Villarreal (Esp),fNIX23Pi,GSuwY3p9,1,3,,,,0
1532786400,Scunthorpe (Eng),Lincoln (Eng),jkOhbwi7,vRvEux2E,0,1,,,,0
1532786400,Royale Union SG (Bel),Goztepe (Tur),KrZtIamS,OGqQfjL1,1,1,,,,0
1532786400,Reading (Eng),Crystal Palace (Eng),dvLIfKqM,pzMOQXRe,0,4,,,,0
1532786400,Port Vale (Eng),Shrewsbury (Eng),6qsP6K6r,MeJKaU2T,2,4,,,,0
1532786400,Peterborough (Eng),Bolton (Eng),vuxu3x67,bJFnYpTt,0,2,,,,0
1532786400,Oldham (Eng),Preston (Eng),fylJcjMq,4UX5t7jk,0,3,,,,0
1532786400,Nottingham (Eng),Bournemouth (Eng),ImKwLTtA,tCGtX12c,2,0,,,,0
1532786400,Morecambe (Eng),Fleetwood (Eng),4zecB0bR,2iK9htx0,1,3,,,,0
1532786400,Mansfield (Eng),Rotherham (Eng),0jIiQC1Q,6qsP6K6r,2,1,,,,0
1532786400,Maidstone (Eng),Dulwich Hamlet (Eng),6i3MJ7Cj,IavhAsbN,4,1,,,,0
1532786400,Luton (Eng),Notts Co (Eng),dATKxRKP,xfnjL0bH,2,0,,,,0
1532786400,London C. (Eng),Staines (Eng),C0dK4BtF,rNagQUWA,3,6,,,,0
1532786400,Livorno (Ita),Cuneo (Ita),rmia1SHF,boEYzhiI,1,0,,,,0
1532786400,Leyton Orient (Eng),Southend (Eng),K2FpWLH3,6qsP6K6r,2,2,,,,0
1532786400,Ipswich (Eng),West Ham (Eng),jXzj6iAf,Q9DJHs4l,1,2,,,,0
1532786400,Hyde (Eng),Bala (Wal),Kt2RJAvf,ba7lmHtG,0,2,,,,0
1532786400,Hemel Hempstead (Eng),Dag & Red (Eng),WdVRHDCa,vXi6clTa,2,3,,,,0
