timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
947105100,Real Madrid,Al Nassr,fcDVLdrL,dr3R7wGl,3,1,,,,0
947114100,Corinthians,Raja Casablanca,Sv3m8l2G,fLPkADxb,2,0,,,,0
947189700,Manchester Utd,Necaxa,h2pPXz3k,8rY7at7H,1,1,,,,0
947198700,Vasco,South Melbourne,bam8o1Nj,bTzLAEkQ,2,0,,,,0
947277900,Real Madrid,Corinthians,fcDVLdrL,Sv3m8l2G,2,2,,,,0
947286900,Raja Casablanca,Al Nassr,fLPkADxb,dr3R7wGl,3,4,,,,0
947362500,Manchester Utd,Vasco,h2pPXz3k,bam8o1Nj,1,3,,,,0
947371500,South Melbourne,Necaxa,bTzLAEkQ,8rY7at7H,1,3,,,,0
947537100,Real Madrid,Raja Casablanca,fcDVLdrL,fLPkADxb,3,2,,,,0
947546100,Al Nassr,Corinthians,dr3R7wGl,Sv3m8l2G,0,2,,,,0
947621700,Manchester Utd,South Melbourne,h2pPXz3k,bTzLAEkQ,2,0,,,,0
947630700,Necaxa,Vasco,8rY7at7H,bam8o1Nj,1,2,,,,0
947876400,Real Madrid,Necaxa,fcDVLdrL,8rY7at7H,1,1,Pen,1,2,0
947887200,Corinthians,Vasco,Sv3m8l2G,bam8o1Nj,0,0,Pen,1,0,0
