timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1333198800,Motor Action,Harare City,0,0,,,,0
1333198800,Hwange,Quelaton,4,3,,,,0
1333198800,Chicken Inn,Gunners,0,0,,,,0
1333198800,Black Mambas,Platinum,1,3,,,,0
1333285200,Shabanie,CAPS Utd,0,0,,,,0
1333285200,Highlanders,WWS Rangers,4,0,,,,0
1333285200,Dynamos,Hardbody,3,0,,,,0
1333285200,Buffaloes,Monomotapa,1,3,,,,0
1333717200,Quelaton,Shabanie,0,3,,,,0
1333717200,Monomotapa,Harare City,1,1,,,,0
1333717200,Gunners,Motor Action,0,1,,,,0
1333803600,CAPS Utd,Chicken Inn,0,3,,,,0
1333890000,Hardbody,Black Mambas,0,1,,,,0
1334408400,Shabanie,WWS Rangers,2,1,,,,0
1334408400,Highlanders,Hardbody,5,3,,,,0
1334408400,Harare City,Gunners,2,1,,,,0
1334408400,Dynamos,Monomotapa,0,1,,,,0
1334408400,Chicken Inn,Quelaton,2,0,,,,0
1334408400,Black Mambas,Buffaloes,0,1,,,,0
1334494800,Motor Action,CAPS Utd,0,3,,,,0
1334494800,Hwange,Platinum,1,1,,,,0
1335013200,WWS Rangers,Chicken Inn,0,3,,,,0
1335013200,Quelaton,Motor Action,0,3,,,,0
1335013200,Monomotapa,Gunners,0,2,,,,0
1335013200,Hardbody,Hwange,2,0,,,,0
1335013200,CAPS Utd,Harare City,1,1,,,,0
1335015000,Platinum,Shabanie,2,2,,,,0
1335099600,Dynamos,Black Mambas,4,1,,,,0
1335099600,Buffaloes,Highlanders,1,1,,,,0
1335618000,Motor Action,WWS Rangers,3,2,,,,0
1335618000,Harare City,Quelaton,0,1,,,,0
1335618000,Chicken Inn,Platinum,1,1,,,,0
1335618000,Black Mambas,Monomotapa,1,1,,,,0
1335704400,Shabanie,Hardbody,1,0,,,,0
1335704400,Hwange,Buffaloes,1,0,,,,0
1335704400,Gunners,CAPS Utd,2,0,,,,0
1335877200,Platinum,Highlanders,1,3,,,,0
1335963600,WWS Rangers,Hwange,2,2,,,,0
1336050000,Buffaloes,Dynamos,0,2,,,,0
1336222800,Quelaton,Gunners,1,0,,,,0
1336222800,Platinum,Motor Action,2,0,,,,0
1336222800,Monomotapa,CAPS Utd,1,0,,,,0
1336222800,Black Mambas,Highlanders,1,3,,,,0
1336309200,WWS Rangers,Harare City,1,1,,,,0
1336309200,Hardbody,Chicken Inn,1,0,,,,0
1336309200,Dynamos,Hwange,4,2,,,,0
1336309200,Buffaloes,Shabanie,2,1,,,,0
1336827600,Motor Action,Hardbody,1,0,,,,0
1336827600,Harare City,Platinum,1,4,,,,0
1336827600,Gunners,WWS Rangers,1,0,,,,0
1336827600,Chicken Inn,Buffaloes,0,1,,,,0
1336914000,Hwange,Black Mambas,2,1,,,,0
1336914000,Highlanders,Monomotapa,3,0,,,,0
1337000400,CAPS Utd,Quelaton,1,0,,,,0
1337173200,Shabanie,Dynamos,0,0,,,,0
1337432400,WWS Rangers,CAPS Utd,0,1,,,,0
1337432400,Platinum,Gunners,2,1,,,,0
1337432400,Monomotapa,Quelaton,1,0,,,,0
1337432400,Black Mambas,Shabanie,0,1,,,,0
1337518800,Highlanders,Hwange,1,0,,,,0
1337518800,Hardbody,Harare City,1,1,,,,0
1337518800,Dynamos,Chicken Inn,2,1,,,,0
1337518800,Buffaloes,Motor Action,1,0,,,,0
1337778000,Shabanie,Highlanders,0,2,,,,0
1337778000,Quelaton,WWS Rangers,1,1,,,,0
1337778000,Motor Action,Dynamos,0,0,,,,0
1337778000,Hwange,Monomotapa,5,1,,,,0
1337864400,Harare City,Buffaloes,0,1,,,,0
1337864400,Gunners,Hardbody,2,1,,,,0
1337864400,Chicken Inn,Black Mambas,1,0,,,,0
1337864400,CAPS Utd,Platinum,3,1,,,,0
1339246800,Platinum,Quelaton,2,0,,,,0
1339246800,Black Mambas,Motor Action,0,3,,,,0
1339333200,Monomotapa,WWS Rangers,1,0,,,,0
1339333200,Hwange,Shabanie,1,4,,,,0
1339333200,Highlanders,Chicken Inn,0,0,,,,0
1339333200,Hardbody,CAPS Utd,0,1,,,,0
1339333200,Buffaloes,Gunners,2,2,,,,0
1340197200,Dynamos,Harare City,0,1,,,,0
1340456400,Motor Action,Highlanders,0,0,,,,0
1340456400,Harare City,Black Mambas,1,0,,,,0
1340456400,Chicken Inn,Hwange,2,1,,,,0
1340542800,WWS Rangers,Platinum,1,2,,,,0
1340542800,Shabanie,Monomotapa,2,1,,,,0
1340542800,Quelaton,Hardbody,0,1,,,,0
1340542800,Gunners,Dynamos,1,2,,,,0
1340542800,CAPS Utd,Buffaloes,1,1,,,,0
1341061200,Monomotapa,Platinum,2,0,,,,0
1341061200,Black Mambas,Gunners,2,0,,,,0
1341147600,Shabanie,Chicken Inn,1,1,,,,0
1341147600,Hwange,Motor Action,2,0,,,,0
1341147600,Highlanders,Harare City,1,1,,,,0
1341147600,Hardbody,WWS Rangers,0,1,,,,0
1341147600,Buffaloes,Quelaton,1,0,,,,0
1341406800,WWS Rangers,Buffaloes,0,2,,,,0
1341406800,Quelaton,Dynamos,0,1,,,,0
1341406800,Platinum,Hardbody,3,1,,,,0
1341406800,Gunners,Highlanders,0,1,,,,0
1341406800,CAPS Utd,Black Mambas,1,1,,,,0
1341493200,Motor Action,Shabanie,1,1,,,,0
1341493200,Harare City,Hwange,2,1,,,,0
1341493200,Chicken Inn,Monomotapa,2,1,,,,0
1341666000,Monomotapa,Hardbody,4,2,,,,0
1341666000,Black Mambas,Quelaton,3,1,,,,0
1341752400,Shabanie,Harare City,1,0,,,,0
1341752400,Hwange,Gunners,0,3,,,,0
1341752400,Highlanders,CAPS Utd,1,0,,,,0
1341752400,Dynamos,WWS Rangers,6,0,,,,0
1341752400,Chicken Inn,Motor Action,1,0,,,,0
1341752400,Buffaloes,Platinum,1,1,,,,0
1342270800,WWS Rangers,Black Mambas,2,2,,,,0
1342270800,Motor Action,Monomotapa,0,1,,,,0
1342270800,Harare City,Chicken Inn,1,1,,,,0
1342270800,Gunners,Shabanie,0,2,,,,0
1342357200,Quelaton,Highlanders,1,1,,,,0
1342357200,Hardbody,Buffaloes,0,2,,,,0
1342357200,CAPS Utd,Hwange,1,2,,,,0
1342962000,Highlanders,Dynamos,1,1,,,,0
1343480400,Dynamos,CAPS Utd,1,0,,,,0
1344085200,Platinum,Dynamos,1,2,,,,0
1344085200,Monomotapa,Motor Action,3,1,,,,0
1344085200,Chicken Inn,Harare City,1,0,,,,0
1344085200,Black Mambas,WWS Rangers,1,2,,,,0
1344171600,Shabanie,Gunners,2,0,,,,0
1344171600,Hwange,CAPS Utd,3,2,,,,0
1344171600,Highlanders,Quelaton,7,1,,,,0
1344171600,Buffaloes,Hardbody,0,1,,,,0
1344690000,Platinum,Buffaloes,1,0,,,,0
1344690000,Motor Action,Chicken Inn,1,0,,,,0
1344690000,Gunners,Hwange,1,1,,,,0
1344690000,CAPS Utd,Highlanders,0,2,,,,0
1344776400,WWS Rangers,Dynamos,1,1,,,,0
1344776400,Quelaton,Black Mambas,0,1,,,,0
1344776400,Hardbody,Monomotapa,0,0,,,,0
1344776400,Harare City,Shabanie,1,0,,,,0
1345294800,Monomotapa,Chicken Inn,1,0,,,,0
1345294800,Black Mambas,CAPS Utd,1,0,,,,0
1345381200,Shabanie,Motor Action,0,2,,,,0
1345381200,Hwange,Harare City,0,0,,,,0
1345381200,Highlanders,Gunners,1,0,,,,0
1345381200,Hardbody,Platinum,0,0,,,,0
1345381200,Dynamos,Quelaton,2,0,,,,0
1345381200,Buffaloes,WWS Rangers,1,0,,,,0
1345899600,WWS Rangers,Hardbody,3,2,,,,0
1345899600,Quelaton,Buffaloes,0,0,,,,0
1345899600,Platinum,Monomotapa,0,3,,,,0
1345899600,Motor Action,Hwange,2,1,,,,0
1345899600,Harare City,Highlanders,0,0,,,,0
1345899600,Gunners,Black Mambas,0,2,,,,0
