timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
447202800,Ivory Coast,Togo,3,0,,,,0
447202800,Egypt,Cameroon,1,0,,,,0
447289200,Nigeria,Ghana,2,1,,,,0
447289200,Algeria,Malawi,3,0,,,,0
447462000,Egypt,Ivory Coast,2,1,,,,0
447462000,Cameroon,Togo,4,1,,,,0
447548400,Malawi,Nigeria,2,2,,,,0
447548400,Algeria,Ghana,2,0,,,,0
447721200,Egypt,Togo,0,0,,,,0
447721200,Cameroon,Ivory Coast,2,0,,,,0
447807600,Ghana,Malawi,1,0,,,,0
447807600,Algeria,Nigeria,0,0,,,,0
448066800,Egypt,Nigeria,2,2,Pen,2,3,0
448066800,Algeria,Cameroon,0,0,Pen,0,1,0
448326000,Algeria,Egypt,3,1,,,,0
448412400,Cameroon,Nigeria,3,1,,,,0
