timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1137776400,Egypt,Libya,j9fRtEHh,YFbDUeTh,3,0,,,,0
1137844800,Morocco,Ivory Coast,hOurGDLS,zTSy144G,0,1,,,,0
1137856500,Cameroon,Angola,GvSfArk7,UPCpX5dK,3,1,,,,0
1137866400,Togo,D.R. Congo,lGdKQ3Zm,YFbDUeTh,0,2,,,,0
1137942900,Tunisia,Zambia,SGdPrEJa,xlL4vXdH,4,1,,,,0
1137952800,South Africa,Guinea,xQxQqqtQ,8vfTQDSH,0,2,,,,0
1138029300,Nigeria,Ghana,CEPH9Bbd,8vfTQDSH,1,0,,,,0
1138039200,Zimbabwe,Senegal,xlL4vXdH,lQcLqf4g,0,2,,,,0
1138115700,Libya,Ivory Coast,YFbDUeTh,zTSy144G,1,2,,,,0
1138125600,Egypt,Morocco,j9fRtEHh,hOurGDLS,0,0,,,,0
1138202100,Angola,D.R. Congo,UPCpX5dK,YFbDUeTh,0,0,,,,0
1138212000,Cameroon,Togo,GvSfArk7,lGdKQ3Zm,2,0,,,,0
1138288500,Zambia,Guinea,xlL4vXdH,8vfTQDSH,1,2,,,,0
1138298400,Tunisia,South Africa,SGdPrEJa,xQxQqqtQ,2,0,,,,0
1138374900,Ghana,Senegal,8vfTQDSH,lQcLqf4g,1,0,,,,0
1138384800,Nigeria,Zimbabwe,CEPH9Bbd,xlL4vXdH,2,0,,,,0
1138467600,Libya,Morocco,YFbDUeTh,hOurGDLS,0,0,,,,0
1138467600,Egypt,Ivory Coast,j9fRtEHh,zTSy144G,3,1,,,,0
1138554000,Cameroon,D.R. Congo,GvSfArk7,YFbDUeTh,2,0,,,,0
1138554000,Angola,Togo,UPCpX5dK,lGdKQ3Zm,3,2,,,,0
1138640400,Zambia,South Africa,xlL4vXdH,xQxQqqtQ,1,0,,,,0
1138640400,Tunisia,Guinea,SGdPrEJa,8vfTQDSH,0,3,,,,0
1138726800,Nigeria,Senegal,CEPH9Bbd,lQcLqf4g,2,1,,,,0
1138726800,Ghana,Zimbabwe,8vfTQDSH,xlL4vXdH,1,2,,,,0
1138971600,Guinea,Senegal,8vfTQDSH,lQcLqf4g,2,3,,,,0
1138986000,Egypt,D.R. Congo,j9fRtEHh,YFbDUeTh,4,1,,,,0
1139058000,Nigeria,Tunisia,CEPH9Bbd,SGdPrEJa,1,1,Pen,2,1,0
1139072400,Cameroon,Ivory Coast,GvSfArk7,zTSy144G,0,0,Pen,1,2,0
1139317200,Nigeria,Ivory Coast,CEPH9Bbd,zTSy144G,0,1,,,,0
1139331600,Egypt,Senegal,j9fRtEHh,lQcLqf4g,2,1,,,,0
1139500800,Senegal,Nigeria,lQcLqf4g,CEPH9Bbd,0,1,,,,0
1139587200,Egypt,Ivory Coast,j9fRtEHh,zTSy144G,0,0,Pen,1,0,0
