timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1183811700,Thailand,Iraq,UknO2XLh,4EsvakLH,1,1,,,,0
1183890000,Australia,Oman,YNb3oHYR,baDaGjjh,1,1,,,,0
1183898100,Vietnam,United Arab Emirates,QHeKqeWC,CrPl0Jrc,2,0,,,,0
1183976400,Japan,Qatar,8toS1iya,UPMdbcD9,1,1,,,,0
1184062800,Indonesia,Bahrain,QBz8eAFI,2ybyvrpo,2,1,,,,0
1184070900,Malaysia,China,QHeKqeWC,QNrz0V5B,1,5,,,,0
1184149200,Iran,Uzbekistan,h2ICxBRT,MeuncTkU,2,1,,,,0
1184157300,South Korea,Saudi Arabia,63aNArwB,KtpTLRpL,1,1,,,,0
1184235600,Oman,Thailand,baDaGjjh,UknO2XLh,0,2,,,,0
1184243700,Qatar,Vietnam,UPMdbcD9,QHeKqeWC,1,1,,,,0
1184322000,Iraq,Australia,4EsvakLH,YNb3oHYR,3,1,,,,0
1184330100,United Arab Emirates,Japan,CrPl0Jrc,8toS1iya,1,3,,,,0
1184408400,Uzbekistan,Malaysia,MeuncTkU,QHeKqeWC,5,0,,,,0
1184416500,Saudi Arabia,Indonesia,KtpTLRpL,QBz8eAFI,2,1,,,,0
1184494800,China,Iran,QNrz0V5B,h2ICxBRT,2,2,,,,0
1184502900,Bahrain,South Korea,2ybyvrpo,63aNArwB,2,1,,,,0
1184581200,Vietnam,Japan,QHeKqeWC,8toS1iya,1,4,,,,0
1184581200,Qatar,United Arab Emirates,UPMdbcD9,CrPl0Jrc,1,2,,,,0
1184589300,Thailand,Australia,UknO2XLh,YNb3oHYR,0,4,,,,0
1184589300,Oman,Iraq,baDaGjjh,4EsvakLH,0,0,,,,0
1184754000,Saudi Arabia,Bahrain,KtpTLRpL,2ybyvrpo,4,0,,,,0
1184754000,Indonesia,South Korea,QBz8eAFI,63aNArwB,0,1,,,,0
1184762100,Uzbekistan,China,MeuncTkU,QNrz0V5B,3,0,,,,0
1184762100,Malaysia,Iran,QHeKqeWC,h2ICxBRT,0,2,,,,0
1185013200,Japan,Australia,8toS1iya,YNb3oHYR,0,0,Pen,2,1,0
1185024000,Iraq,Vietnam,4EsvakLH,QHeKqeWC,2,0,,,,0
1185099600,Iran,South Korea,h2ICxBRT,63aNArwB,0,0,Pen,0,1,0
1185110400,Saudi Arabia,Uzbekistan,KtpTLRpL,MeuncTkU,2,1,,,,0
1185358800,Iraq,South Korea,4EsvakLH,63aNArwB,0,0,Pen,1,0,0
1185369600,Japan,Saudi Arabia,8toS1iya,KtpTLRpL,2,3,,,,0
1185626100,South Korea,Japan,63aNArwB,8toS1iya,0,0,Pen,1,0,0
1185712500,Iraq,Saudi Arabia,4EsvakLH,KtpTLRpL,1,0,,,,0
