timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
821142000,Trinidad & Tobago,El Salvador,0tVbG58r,raJr9r28,2,3,,,,0
821142000,Canada,Honduras,EqLGVN18,U9vpe29F,3,1,,,,0
821228400,Mexico,Saint Vincent and the Grenadines,IPF97VQ3,6yXdouA1,5,0,,,,0
821314800,Brazil,Canada,88LAtdNt,EqLGVN18,4,1,,,,0
821401200,USA,Trinidad & Tobago,MPdHoKT3,0tVbG58r,3,2,,,,0
821487600,Mexico,Guatemala,IPF97VQ3,MPdGWDGc,1,0,,,,0
821487600,Brazil,Honduras,88LAtdNt,U9vpe29F,5,0,,,,0
821660400,USA,El Salvador,MPdHoKT3,raJr9r28,2,0,,,,0
821660400,Saint Vincent and the Grenadines,Guatemala,6yXdouA1,MPdGWDGc,0,3,,,,0
821833200,USA,Brazil,MPdHoKT3,88LAtdNt,0,1,,,,0
821919600,Mexico,Guatemala,IPF97VQ3,MPdGWDGc,1,0,,,,0
822092400,USA,Guatemala,MPdHoKT3,MPdGWDGc,3,0,,,,0
822092400,Brazil,Mexico,88LAtdNt,IPF97VQ3,0,2,,,,0
