timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
804895200,Uruguay,Venezuela,WdZ4jMrq,jclZerLL,4,1,,,,0
804981600,Paraguay,Mexico,I5qbBI7s,IPF97VQ3,2,1,,,,0
805068000,Colombia,Peru,C6kVdO5F,6aZroxFP,1,1,,,,0
805068000,Brazil,Ecuador,88LAtdNt,IPF97VQ3,1,0,,,,0
805154400,USA,Chile,MPdHoKT3,dYPS3tqD,2,1,,,,0
805154400,Argentina,Bolivia,AmY8ktbk,Ik5Zg8Xj,2,1,,,,0
805240800,Uruguay,Paraguay,WdZ4jMrq,I5qbBI7s,1,0,,,,0
805240800,Mexico,Venezuela,IPF97VQ3,jclZerLL,3,1,,,,0
805327200,Colombia,Ecuador,C6kVdO5F,IPF97VQ3,1,0,,,,0
805327200,Brazil,Peru,88LAtdNt,6aZroxFP,2,0,,,,0
805413600,Bolivia,USA,Ik5Zg8Xj,MPdHoKT3,1,0,,,,0
805413600,Argentina,Chile,AmY8ktbk,dYPS3tqD,4,0,,,,0
805500000,Paraguay,Venezuela,I5qbBI7s,jclZerLL,3,2,,,,0
805586400,Uruguay,Mexico,WdZ4jMrq,IPF97VQ3,1,1,,,,0
805586400,Ecuador,Peru,IPF97VQ3,6aZroxFP,2,1,,,,0
805586400,Brazil,Colombia,88LAtdNt,C6kVdO5F,3,0,,,,0
805672800,USA,Argentina,MPdHoKT3,AmY8ktbk,3,0,,,,0
805672800,Bolivia,Chile,Ik5Zg8Xj,dYPS3tqD,2,2,,,,0
805845600,Uruguay,Bolivia,WdZ4jMrq,Ik5Zg8Xj,2,1,,,,0
805845600,Colombia,Paraguay,C6kVdO5F,I5qbBI7s,1,1,Pen,2,1,0
805932000,USA,Mexico,MPdHoKT3,IPF97VQ3,0,0,Pen,1,0,0
805932000,Brazil,Argentina,88LAtdNt,AmY8ktbk,2,2,Pen,3,2,0
806104800,Uruguay,Colombia,WdZ4jMrq,C6kVdO5F,2,0,,,,0
806191200,Brazil,USA,88LAtdNt,MPdHoKT3,1,0,,,,0
806364000,Colombia,USA,C6kVdO5F,MPdHoKT3,4,1,,,,0
806450400,Uruguay,Brazil,WdZ4jMrq,88LAtdNt,1,1,Pen,2,1,0
