timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1560558600,Brazil,Bolivia,3,0,,,,0
1560625200,Venezuela,Peru,0,0,,,,0
1560636000,Argentina,Colombia,0,2,,,,0
1560711600,Paraguay,Qatar,2,2,,,,0
1560722400,Uruguay,Ecuador,4,0,,,,0
1560812400,Japan,Chile,0,4,,,,0
1560893400,Bolivia,Peru,1,3,,,,0
1560904200,Brazil,Venezuela,0,0,,,,0
1560979800,Colombia,Qatar,1,0,,,,0
1560990600,Argentina,Paraguay,1,1,,,,0
1561071600,Uruguay,Japan,2,2,,,,0
1561158000,Ecuador,Chile,1,2,,,,0
1561230000,Peru,Brazil,0,5,,,,0
1561230000,Bolivia,Venezuela,1,3,,,,0
1561316400,Qatar,Argentina,0,2,,,,0
1561316400,Colombia,Paraguay,1,0,,,,0
1561417200,Ecuador,Japan,1,1,,,,0
1561417200,Chile,Uruguay,0,1,,,,0
1561681800,Brazil,Paraguay,0,0,Pen,1,0,0
1561748400,Venezuela,Argentina,0,2,,,,0
1561762800,Colombia,Chile,0,0,Pen,0,1,0
1561834800,Uruguay,Peru,0,0,Pen,0,1,0
1562113800,Brazil,Argentina,2,0,,,,0
1562200200,Chile,Peru,0,3,,,,0
1562439600,Argentina,Chile,2,1,,,,0
1562529600,Brazil,Peru,3,1,,,,0
