timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1074457800,USA,Denmark,MPdHoKT3,2kmuAQ93,1,1,,,,0
1074725700,Sweden,Norway,Uywods6T,8doAmYTm,0,3,,,,0
1074985200,Sweden,Hong Kong,Uywods6T,48fOrFoJ,3,0,,,,0
1075022100,Norway,Honduras,8doAmYTm,U9vpe29F,3,1,,,,0
1075762800,China,Finland,QNrz0V5B,08oJ2RMo,2,1,,,,0
1076139000,China,Finland,QNrz0V5B,08oJ2RMo,2,1,,,,0
1076148000,Japan,Malaysia,8toS1iya,QHeKqeWC,4,0,,,,0
1076580000,Japan,Iraq,8toS1iya,4EsvakLH,2,0,,,,0
1077109200,Romania,Georgia,tKviOc0q,zXtZbqMA,3,0,,,,0
1077109200,Latvia,Kazakhstan,zXtZbqMA,Cfuwb3yH,3,1,,,,0
1077109200,Hungary,Armenia,Uywods6T,dtrVaP64,2,0,,,,0
1077109200,Cyprus,Belarus,vZG58BBc,Cfuwb3yH,0,2,,,,0
1077120000,Israel,Azerbaijan,2ybyvrpo,dtrVaP64,6,0,,,,0
1077123600,North Macedonia,Bosnia & Herzegovina,zXtZbqMA,Cfuwb3yH,1,0,,,,0
1077127200,Libya,Ukraine,YFbDUeTh,IPF97VQ3,1,1,,,,0
1077129000,Turkey,Denmark,Cfuwb3yH,2kmuAQ93,0,1,,,,0
1077129900,Albania,Sweden,vZG58BBc,Uywods6T,2,1,,,,0
1077130800,Poland,Slovenia,vZG58BBc,IuvzgF4s,2,0,,,,0
1077130800,Greece,Bulgaria,IPNevN3m,Iyld3bDd,2,0,,,,0
1077131700,Belgium,France,dtrVaP64,U3HPIwDq,0,2,,,,0
1077132600,Netherlands,USA,fazrR153,MPdHoKT3,1,0,,,,0
1077132600,Morocco,Switzerland,hOurGDLS,88LAtdNt,2,1,,,,0
1077132600,Ireland,Brazil,fazrR153,88LAtdNt,0,0,,,,0
1077133500,Wales,Scotland,YkZoQLK9,lfZlm1uk,4,0,,,,0
1077133500,Northern Ireland,Norway,fazrR153,8doAmYTm,1,4,,,,0
1077133500,Italy,Czech Republic,KfXjzrxU,b1xaMyVe,2,2,,,,0
1077133500,Croatia,Germany,zXtZbqMA,fB4vYUZp,1,2,,,,0
1077137100,Spain,Peru,0E8Iihe1,6aZroxFP,2,1,,,,0
1077138900,Portugal,England,vZG58BBc,Iyld3bDd,1,1,,,,0
1077144900,Venezuela,Australia,jclZerLL,YNb3oHYR,1,1,,,,0
1077144900,Mexico,Chile,IPF97VQ3,dYPS3tqD,1,1,,,,0
1077144900,Jamaica,Uruguay,IPF97VQ3,WdZ4jMrq,2,0,,,,0
1077144900,Honduras,Colombia,U9vpe29F,C6kVdO5F,1,1,,,,0
1077195600,Cyprus,Georgia,vZG58BBc,zXtZbqMA,3,1,,,,0
1077210000,Romania,Belarus,tKviOc0q,Cfuwb3yH,2,0,,,,0
1077210000,Latvia,Hungary,zXtZbqMA,Uywods6T,1,2,,,,0
1077210000,Armenia,Kazakhstan,dtrVaP64,Cfuwb3yH,3,3,AET,4,3,0
1077373800,Romania,Hungary,tKviOc0q,Uywods6T,3,0,,,,0
1077373800,Latvia,Belarus,zXtZbqMA,Cfuwb3yH,1,4,,,,0
1077373800,Georgia,Armenia,zXtZbqMA,dtrVaP64,0,2,,,,0
1077373800,Cyprus,Kazakhstan,vZG58BBc,Cfuwb3yH,2,1,,,,0
1077390000,Poland,Faroe Islands,vZG58BBc,fazrR153,6,0,,,,0
1077577200,Luxembourg,Faroe Islands,jovscNjN,fazrR153,2,4,,,,0
1078959000,Venezuela,Honduras,jclZerLL,U9vpe29F,2,1,,,,0
1078959000,Mexico,Ecuador,IPF97VQ3,IPF97VQ3,2,1,,,,0
1079132400,USA,Haiti,MPdHoKT3,GY05WHbt,1,1,,,,0
1080662400,Israel,Lithuania,2ybyvrpo,08oJ2RMo,2,1,,,,0
1080666900,Egypt,Trinidad & Tobago,j9fRtEHh,0tVbG58r,2,1,,,,0
1080673200,Australia,South Africa,YNb3oHYR,xQxQqqtQ,1,0,,,,0
1080738000,Moldova,Azerbaijan,vapN1oxh,dtrVaP64,2,1,,,,0
1080741600,Malta,Finland,zXtZbqMA,08oJ2RMo,1,2,,,,0
1080745200,Estonia,Northern Ireland,YkZoQLK9,fazrR153,0,1,,,,0
1080745200,Bulgaria,Russia,Iyld3bDd,dtrVaP64,2,2,,,,0
1080748800,Slovenia,Latvia,IuvzgF4s,zXtZbqMA,0,1,,,,0
1080748800,Serbia and Montenegro,Norway,zc8wEAfR,8doAmYTm,0,1,,,,0
1080748800,North Macedonia,Ukraine,zXtZbqMA,IPF97VQ3,1,0,,,,0
1080752400,Tunisia,Ivory Coast,SGdPrEJa,zTSy144G,0,2,,,,0
1080752400,Morocco,Angola,hOurGDLS,UPCpX5dK,3,1,,,,0
1080752400,Croatia,Turkey,zXtZbqMA,Cfuwb3yH,2,2,,,,0
1080756000,Luxembourg,Bosnia & Herzegovina,jovscNjN,Cfuwb3yH,1,2,,,,0
1080756000,Greece,Switzerland,IPNevN3m,88LAtdNt,1,0,,,,0
1080756000,Albania,Iceland,vZG58BBc,vokh4vbj,2,1,,,,0
1080756900,Hungary,Wales,Uywods6T,YkZoQLK9,1,2,,,,0
1080757800,Slovakia,Austria,byN2hxSj,6cnthjRG,1,1,,,,0
1080757800,Ireland,Czech Republic,fazrR153,b1xaMyVe,2,1,,,,0
1080757800,Germany,Belgium,fB4vYUZp,dtrVaP64,3,0,,,,0
1080758100,Poland,USA,vZG58BBc,MPdHoKT3,0,1,,,,0
1080758700,Sweden,England,Uywods6T,Iyld3bDd,1,0,,,,0
1080758700,Netherlands,France,fazrR153,U3HPIwDq,0,0,,,,0
1080759600,Scotland,Romania,lfZlm1uk,tKviOc0q,1,2,,,,0
1080762300,Spain,Denmark,0E8Iihe1,2kmuAQ93,2,0,,,,0
1080762300,Portugal,Italy,vZG58BBc,KfXjzrxU,1,2,,,,0
1080770100,Mexico,Costa Rica,IPF97VQ3,KfXjzrxU,2,0,,,,0
1080770100,Jamaica,Honduras,IPF97VQ3,U9vpe29F,2,2,,,,0
1082890800,Hungary,Japan,Uywods6T,8toS1iya,3,2,,,,0
1083146400,South Korea,Paraguay,63aNArwB,I5qbBI7s,0,0,,,,0
1083151800,Kazakhstan,Azerbaijan,Cfuwb3yH,dtrVaP64,2,3,,,,0
1083157200,Armenia,Turkmenistan,dtrVaP64,MLbn53jJ,1,0,,,,0
1083159000,Latvia,Iceland,zXtZbqMA,vokh4vbj,0,0,,,,0
1083162600,Czech Republic,Japan,b1xaMyVe,8toS1iya,0,1,,,,0
1083164400,Israel,Moldova,2ybyvrpo,vapN1oxh,1,1,,,,0
1083164400,Bulgaria,Cameroon,Iyld3bDd,GvSfArk7,3,0,,,,0
1083166200,Belarus,Lithuania,Cfuwb3yH,08oJ2RMo,1,0,,,,0
1083168000,Poland,Ireland,vZG58BBc,fazrR153,0,0,,,,0
1083168900,Ukraine,Slovakia,IPF97VQ3,byN2hxSj,1,1,,,,0
1083171600,Romania,Germany,tKviOc0q,fB4vYUZp,5,1,,,,0
1083175200,Norway,Russia,8doAmYTm,dtrVaP64,3,2,,,,0
1083175200,North Macedonia,Croatia,zXtZbqMA,zXtZbqMA,0,1,,,,0
1083175200,Estonia,Albania,YkZoQLK9,vZG58BBc,1,1,,,,0
1083175200,Denmark,Scotland,2kmuAQ93,lfZlm1uk,1,0,,,,0
1083175200,Bosnia & Herzegovina,Finland,Cfuwb3yH,08oJ2RMo,1,0,,,,0
1083176100,Switzerland,Slovenia,88LAtdNt,IuvzgF4s,2,1,,,,0
1083176100,Belgium,Turkey,dtrVaP64,Cfuwb3yH,2,3,,,,0
1083177000,San Marino,Liechtenstein,fazrR153,08oJ2RMo,1,0,,,,0
1083177000,Netherlands,Greece,fazrR153,IPNevN3m,4,0,,,,0
1083177000,Hungary,Brazil,Uywods6T,88LAtdNt,1,4,,,,0
1083177000,Austria,Luxembourg,6cnthjRG,jovscNjN,4,1,,,,0
1083177900,Northern Ireland,Serbia and Montenegro,fazrR153,zc8wEAfR,1,1,,,,0
1083178800,Italy,Spain,KfXjzrxU,0E8Iihe1,1,1,,,,0
1083183300,Portugal,Sweden,vZG58BBc,Uywods6T,2,2,,,,0
1083186000,Morocco,Argentina,hOurGDLS,AmY8ktbk,0,1,,,,0
1083189300,USA,Mexico,MPdHoKT3,IPF97VQ3,1,0,,,,0
1083189300,Jamaica,Venezuela,IPF97VQ3,jclZerLL,2,1,,,,0
1083189300,Honduras,Ecuador,U9vpe29F,IPF97VQ3,1,1,,,,0
1083189300,El Salvador,Colombia,raJr9r28,C6kVdO5F,0,2,,,,0
1083189300,Chile,Peru,dYPS3tqD,6aZroxFP,1,1,,,,0
1084975200,Cyprus,Jordan,vZG58BBc,4EsvakLH,0,0,,,,0
1085079600,France,Brazil,U3HPIwDq,88LAtdNt,0,0,,,,0
