timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1704085200,Japan,Thailand,5,0,,,,0
1704115800,China,Hong Kong,1,2,,,,1
1704200400,Indonesia,Libya,0,4,,,,1
1704369600,Hong Kong,Tajikistan,1,2,,,,1
1704375000,Lebanon,Saudi Arabia,0,1,,,,1
1704459600,Indonesia,Libya,1,2,,,,1
1704465000,Syria,Kyrgyzstan,1,1,,,,1
1704465000,Iran,Burkina Faso,2,1,,,,0
1704470400,Qatar,Jordan,1,2,,,,0
1704484800,Togo,Algeria,0,3,,,,0
1704538800,D.R. Congo,Angola,0,0,,,,1
1704546000,South Korea,Iraq,1,0,,,,1
1704549600,Mozambique,Lesotho,2,0,,,,1
1704549600,Bahrain,Australia,0,2,,,,1
1704554100,United Arab Emirates,Oman,0,1,,,,0
1704560400,Ivory Coast,Sierra Leone,5,1,,,,0
1704565800,Tunisia,Mauritania,0,0,,,,0
1704567600,Mali,Guinea Bissau,6,2,,,,0
1704632400,Uzbekistan,Palestine,1,0,,,,1
1704643200,Egypt,Tanzania,2,0,,,,0
1704715200,Guinea,Nigeria,2,0,,,,1
1704722400,Botswana,Mozambique,1,1,,,,1
1704733200,Syria,Malaysia,2,2,,,,1
1704736800,Senegal,Niger,1,0,,,,0
1704744000,Ghana,Namibia,0,0,,,,0
1704758400,Colombia U23,Dominican Republic U23,3,2,,,,0
1704799800,Japan,Jordan,6,1,,,,1
1704805200,Zambia,Cameroon,1,1,,,,1
1704805200,Kyrgyzstan,Vietnam,2,1,,,,1
1704808800,Equatorial Guinea,Djibouti,1,1,,,,0
1704812400,Indonesia,Iran,0,5,,,,1
1704812400,Burundi,Algeria,0,4,,,,1
1704814200,Palestine,Saudi Arabia,0,0,,,,1
1704891600,South Africa,Lesotho,0,0,,,,0
1704891600,D.R. Congo,Burkina Faso,1,2,,,,1
1704895200,Bahrain,Angola,0,3,,,,1
1704900600,Hong Kong,Saudi Arabia,0,2,,,,1
1704907800,Tunisia,Cape Verde,2,0,,,,0
1704985200,Morocco,Sierra Leone,3,1,,,,1
1705064400,Chile U23,Bolivia U23,3,0,,,,0
1705075200,Libya,Kuwait,3,1,,,,1
1705082400,Sweden,Estonia,2,1,,,,1
1705104000,Colombia U23,Dominican Republic U23,5,0,,,,0
1705188600,Uruguay U23,Paraguay U23,4,1,,,,0
1705190400,Guatemala,Iceland,0,1,,,,1
1705237200,Saudi Arabia U23,Qatar U23,0,0,,,,1
1705402800,Thailand U23,Kuwait U23,4,2,,,,0
1705408200,Cyprus U17,Georgia U17,1,1,,,,0
1705494600,Akron Togliatti,Iraq U23,0,2,,,,1
1705496400,Egypt U23,Qatar U23,0,0,,,,0
1705498200,Italy U19,Spain U19,0,3,,,,0
1705501800,France U16,Luxembourg U16,5,1,,,,0
1705510800,Spain U18,Italy U18,0,0,,,,0
1705539600,Honduras,Iceland,0,2,,,,1
1705581000,Cyprus U17,Georgia U17,1,2,,,,0
1705658400,Turkey U19,Jordan U20,3,0,,,,0
1705658400,France U16,Luxembourg U16,1,1,Pen,1,2,0
1705669200,Nyiregyhaza,South Korea U23,0,0,,,,1
1705680000,Uganda,Kuwait,2,0,,,,1
1705683600,Guatemala U19,Cuba U19,2,1,,,,1
1705684200,Panama U19,El Salvador U19,3,0,,,,1
1705698000,Costa Rica U19,Belize U19,7,1,,,,1
1705698600,Honduras U19,Nicaragua U19,4,0,,,,0
1705712400,El Salvador,Inter Miami,0,0,,,,0
1705752000,United Arab Emirates U23,Saudi Arabia U23,2,0,,,,0
1705764600,Egypt U23,Iraq U23,0,1,,,,1
1705780800,USA,Slovenia,0,1,,,,0
1705846500,United Arab Emirates U20,Lebanon U20,2,2,,,,0
1705856400,Belize U19,Guatemala U19,0,6,,,,1
1705857000,Nicaragua U19,Panama U19,0,4,,,,1
1705870800,Cuba U19,Costa Rica U19,1,1,,,,1
1705871400,Honduras U19,El Salvador U19,4,2,,,,0
1705915800,Czech Republic U16,Greece U16,0,1,,,,1
1705923000,Turkey U16,Ireland U16,3,1,,,,0
1705930200,Tunisia U17,Jordan U17,3,1,,,,0
1706011200,Saudi Arabia U23,Egypt U23,2,1,,,,1
1706014800,United Arab Emirates U23,Iraq U23,0,4,,,,0
1706022000,Portugal U17,Finland U17,2,2,,,,0
1706029200,Belize U19,Cuba U19,2,1,,,,1
1706029800,El Salvador U19,Nicaragua U19,0,5,,,,1
1706032800,Spain U17,Italy U17,3,3,,,,0
1706043600,Costa Rica U19,Guatemala U19,2,4,,,,1
1706044200,Honduras U19,Panama U19,0,1,,,,0
1706085000,Fakel Voronezh,South Korea U23,2,1,,,,1
1706086800,Iraq U20,Jordan U20,0,2,,,,1
1706088600,Ireland U16,Czech Republic U16,2,1,,,,1
1706095800,Turkey U16,Greece U16,1,1,,,,0
1706105700,United Arab Emirates U20,Lebanon U20,1,0,,,,0
1706112000,Scotland U16,Australia U16,2,1,,,,0
1706112000,Morocco U20,Mauritania U20,4,0,,,,0
1706175000,Spain U17,Italy U17,1,2,,,,0
1706178600,Portugal U17,Finland U17,0,1,,,,0
1706191200,Tunisia U17,Jordan U17,2,1,,,,0
1706200200,Cuba U19,El Salvador U19,2,2,Pen,2,3,1
1706200800,Honduras U19,Costa Rica U19,3,2,,,,0
1706215800,Nicaragua U19,Belize U19,3,1,,,,1
1706216400,Panama U19,Guatemala U19,0,0,Pen,0,1,1
1706220000,Trinidad & Tobago U20,Jamaica U20,3,2,,,,0
1706263200,Turkey U16,Czech Republic U16,2,0,,,,0
1706263200,Ireland U16,Greece U16,6,0,,,,1
1706272200,Indonesia U20,Thailand U20,1,2,,,,0
1706284800,Morocco U20,Mauritania U20,3,0,,,,0
1706356800,United Arab Emirates U23,Egypt U23,1,5,,,,0
1706360400,Saudi Arabia U23,Ivory Coast U23,2,2,Pen,3,2,1
1706369400,Togo U23,Iraq U23,2,3,,,,1
1706430600,Thailand U20,Uzbekistan U20,1,1,,,,1
1706533200,Kuwait U17,Kyrgyzstan U17,0,0,,,,1
1706616000,Saudi Arabia U23,Togo U23,2,1,,,,1
1706617800,Indonesia U20,Uzbekistan U20,2,3,,,,0
1706796000,Kyrgyzstan U20,Iraq U20,0,0,Pen,1,0,1
1706817600,Trinidad & Tobago U20,Jamaica U20,1,3,,,,0
1706925600,Costa Rica,El Salvador,2,0,,,,0
1706947200,Arka Gdynia,South Korea U23,1,0,,,,1
1707224400,Norway U17,Czech Republic U17,1,3,,,,1
1707238800,Sweden U17,Poland U17,0,4,,,,1
1707296400,Romania U19,Progresul Spartac,4,2,,,,0
1707397200,Poland U17,Czech Republic U17,3,4,,,,1
1707411600,Norway U17,Sweden U17,0,1,,,,1
1707478200,Bulgaria U17,Turkey U17,1,1,,,,1
1707480000,Germany U16,Japan U16,3,2,,,,1
1707488100,Croatia U17,Greece U17,1,0,,,,0
1707490800,Portugal U16,Netherlands U16,6,2,,,,0
1707555600,Romania U17,Moldova U17,4,1,,,,0
1707562800,Germany U17,Spain U17,0,7,,,,1
1707564600,Greece U19,Turkey U19,1,2,,,,1
1707566400,Czech Republic U17,Sweden U17,0,1,,,,1
1707573600,Saudi Arabia U19,Latvia U19,0,0,,,,1
1707577200,Poland U17,Norway U17,3,0,,,,1
1707580800,Portugal U17,Netherlands U17,6,0,,,,0
1707652800,Portugal U16,Germany U16,0,2,,,,0
1707656400,Qizilqum,Kyrgyzstan U23,0,2,,,,0
1707663600,Netherlands U16,Japan U16,6,3,,,,1
1707728400,Romania U17,Moldova U17,2,0,,,,0
1707735600,Netherlands U17,Germany U17,1,3,,,,1
1707737400,Greece U17,Bulgaria U17,1,1,,,,1
1707747300,Croatia U17,Turkey U17,4,2,,,,0
1707753600,Portugal U17,Spain U17,1,1,,,,0
1707823800,Greece U19,Latvia U19,3,0,,,,1
1707825600,Cyprus U17,Slovakia U17,0,1,,,,0
1707825600,Bosnia & Herzegovina U17,Wales U17,2,2,,,,1
1707831000,Italy U17,France U17,0,1,,,,0
1707832800,Croatia U19,Saudi Arabia U19,1,2,,,,0
1707841800,Scotland U19,Turkey U19,0,1,,,,1
1707841800,Italy U16,Belgium U16,4,1,,,,0
1707906600,Portugal U16,Japan U16,2,1,,,,0
1707908400,Spain U17,Netherlands U17,1,1,,,,1
1707908400,Portugal U17,Germany U17,0,3,,,,0
1707917400,Netherlands U16,Germany U16,3,3,,,,1
1707917400,Italy U19,Austria U19,3,0,,,,0
1707917400,Italy U18,Slovakia U18,1,0,,,,0
1707919200,Ireland U17,Hungary U17,0,2,,,,1
1707933600,Switzerland U17,Denmark U17,0,4,,,,1
1707989400,Croatia U17,Bulgaria U17,0,0,,,,1
1707991200,Italy U17,France U17,2,2,,,,0
1707991200,Italy U16,Belgium U16,1,0,,,,0
1707996600,Turkey U17,Greece U17,3,1,,,,1
1708002000,Cyprus U17,Slovakia U17,2,2,,,,0
1708083000,Croatia U19,Greece U19,0,2,,,,0
1708084800,Bosnia & Herzegovina U17,Wales U17,0,4,,,,1
1708092000,Saudi Arabia U19,Turkey U19,0,1,,,,1
1708092000,Hungary U17,Switzerland U17,1,3,,,,1
1708101000,Scotland U19,Latvia U19,4,0,,,,1
1708171200,Denmark U17,Ireland U17,5,1,,,,1
1708272000,Liberia U20,Sierra Leone U20,0,0,,,,0
1708432200,Montenegro U19,Lithuania U19,1,1,,,,1
1708437600,Sweden U16,South Korea U16,0,2,,,,1
1708437600,Spain U19,Norway U19,5,0,,,,0
1708437600,Czech Republic U19,Denmark U19,2,3,,,,1
1708444800,Liberia U20,Sierra Leone U20,1,1,,,,0
1708524000,England U16,Saudi Arabia U16,3,1,,,,1
1708527600,Luxembourg U16,Belgium U16,6,2,,,,0
