timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
-493801200,Yugoslavia,Greece,1,0,,,,0
-492418800,Finland,Belgium,2,4,,,,0
-492159600,Sweden,Belgium,2,3,,,,0
-490690800,Czechoslovakia,Romania,2,0,,,,0
-489826800,Norway,Saarland,2,3,,,,0
-489481200,Romania,Bulgaria,3,1,,,,0
-487688400,Mexico,Haiti,8,0,,,,0
-486198000,Finland,Sweden,3,3,,,,0
-485247600,Sweden,Finland,4,0,,,,0
-484988400,Norway,Germany,1,1,,,,0
-483433200,Bulgaria,Czechoslovakia,1,2,,,,0
-482223600,Luxembourg,France,1,6,,,,0
-481964400,Belgium,Finland,2,2,,,,0
-481618800,Austria,Portugal,9,1,,,,0
-481100400,Northern Ireland,Scotland,1,3,,,,0
-481014000,Ireland,France,3,5,,,,0
-480668400,Belgium,Sweden,2,0,,,,0
-480495600,Wales,England,1,4,,,,0
-480409200,Germany,Saarland,3,0,,,,0
-480409200,Bulgaria,Romania,1,2,,,,0
-479199600,Romania,Czechoslovakia,0,1,,,,0
-478940400,Ireland,Luxembourg,4,0,,,,0
-478594800,Greece,Israel,1,0,,,,0
-478335600,Scotland,Wales,3,3,,,,0
-477990000,Yugoslavia,Israel,1,0,,,,0
-477990000,Saarland,Norway,0,0,,,,0
-477990000,Czechoslovakia,Bulgaria,0,0,,,,0
-477730800,England,Northern Ireland,3,1,,,,0
-477558000,Egypt,Italy,1,2,,,,0
-476780400,Germany,Norway,5,1,,,,0
-476521200,France,Ireland,1,0,,,,0
-476175600,Portugal,Austria,0,0,,,,0
-473778000,Haiti,Mexico,0,4,,,,0
-473756400,France,Luxembourg,8,0,,,,0
-504428400,Spain,Turkey,4,1,,,,0
-504104400,Mexico,USA,4,0,,,,0
-503758800,USA,Mexico,1,3,,,,0
-502873200,Italy,Egypt,5,1,,,,0
-501080400,Paraguay,Chile,4,0,,,,0
-500475600,Chile,Paraguay,1,3,,,,0
-499870800,Chile,Brazil,0,2,,,,0
-499611600,Haiti,USA,2,3,,,,0
-499525200,USA,Haiti,3,0,,,,0
-499266000,Paraguay,Brazil,0,1,,,,0
-499244400,Luxembourg,Ireland,0,1,,,,0
-499226400,Japan,South Korea,1,5,,,,0
-499158000,Israel,Greece,0,2,,,,0
-498661200,Brazil,Chile,1,0,,,,0
-498639600,Turkey,Spain,1,0,,,,0
-498621600,South Korea,Japan,2,2,,,,0
-498056400,Brazil,Paraguay,4,1,,,,0
-498034800,Israel,Yugoslavia,0,1,,,,0
-497430000,Saarland,Germany,1,3,,,,0
-497430000,Greece,Yugoslavia,0,1,,,,0
-497170800,Wales,Northern Ireland,1,2,,,,0
-496911600,Scotland,England,2,4,,,,0
-490518000,Yugoslavia,France,1,0,,,,0
-490518000,Uruguay,Czechoslovakia,2,0,,,,0
-490518000,Brazil,Mexico,5,0,,,,0
-490518000,Austria,Scotland,1,0,,,,0
-490432200,Switzerland,Italy,2,1,,,,0
-490431600,Hungary,South Korea,9,0,,,,0
-490431600,Germany,Turkey,4,1,,,,0
-490431000,England,Belgium,3,3,AET,4,4,0
-490263000,Uruguay,Scotland,7,0,,,,0
-490262400,Brazil,Yugoslavia,1,1,AET,1,1,0
-490262400,Austria,Czechoslovakia,5,0,,,,0
-490261800,France,Mexico,3,2,,,,0
-490176600,Hungary,Germany,8,3,,,,0
-490176000,Turkey,South Korea,7,0,,,,0
-490176000,Italy,Belgium,4,1,,,,0
-490175400,England,Switzerland,2,0,,,,0
-489913200,Switzerland,Italy,4,1,,,,0
-489913200,Germany,Turkey,7,2,,,,0
-489657600,Uruguay,England,4,2,,,,0
-489657600,Austria,Switzerland,7,5,,,,0
-489571200,Hungary,Brazil,4,2,,,,0
-489571200,Germany,Yugoslavia,2,0,,,,0
-489308400,Hungary,Uruguay,2,2,AET,4,2,0
-489308400,Germany,Austria,6,1,,,,0
-489052800,Austria,Uruguay,3,1,,,,0
-488966400,Germany,Hungary,3,2,,,,0
